Item,Indicator,Value,Signal
,SMA (10),670.66,Sell
,EMA (10),665.24,Sell
,SMA (20),673.39,Sell
,EMA (20),667.86,Sell
,SMA (50),664.49,Sell
,EMA (50),658.5,Sell
,SMA (100),631.65,Buy
,EMA (100),645.43,Sell
,SMA (200),631.92,Buy
,EMA (200),649.76,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),39.07,Neutral
,"MACD (12,26,9)",-0.48,Sell
,"Stochastic (14,3,3)",14.92,Buy
,ADX (14),15.13,Neutral
,Williams %R (14),-76.25,Neutral
,ATR (14),16.73,Neutral
,ROC (12),-4.16,Sell
,Stoch RSI (14),0,Buy
,"UO (7,14,28)",42.76,Neutral
