Item,Indicator,Value,Signal
,SMA (10),1938.85,Sell
,EMA (10),1918.5,Sell
,SMA (20),1901.94,Sell
,EMA (20),1904.06,Sell
,SMA (50),1839.63,Buy
,EMA (50),1823.37,Buy
,SMA (100),1654.36,Buy
,EMA (100),1761.41,Buy
,SMA (200),1813.13,Buy
,EMA (200),1753.71,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),51.58,Neutral
,"MACD (12,26,9)",27.74,Sell
,"Stochastic (14,3,3)",39.65,Neutral
,ADX (14),24.08,Neutral
,Williams %R (14),-65.75,Neutral
,ATR (14),74.93,High Volatility
,ROC (12),-2.28,Sell
,Stoch RSI (14),1.55,Buy
,"UO (7,14,28)",50.26,Neutral
