Item,Date,Document
,2026-08-25,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8b761a37-cb16-4ad7-b3ac-95eec3e7bf76.pdf)
,2026-08-05,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a472f51c-2d74-455f-bfd9-fec35633ca62.pdf)
,2026-08-03,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7191b424-a1fc-4b98-a084-4499baa92083.pdf)
,2026-08-01,[Shareholder Meeting / Postal Ballot-Outcome of Postal_Ballot](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=72c688ef-9529-42ac-9f98-176003e12430.pdf)
,2026-08-01,"[Shareholder Meeting / Postal Ballot-Scrutinizer""s Report](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c80c0823-7479-472b-97b2-059972bc6290.pdf)"
,2026-07-16,[Announcement under Regulation 30 (LODR)-Credit Rating](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ac998e4f-1ae8-4784-8085-cd52f5c85d32.pdf)
,2026-07-11,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e31f5f1b-0c73-4735-8bcd-65eae2236a3d.pdf)
,2026-07-10,[Board Meeting Outcome for Outcome Of Board Meeting Held On 10Th July 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9a56a78e-d12d-4c7f-bd28-a047c6c8214f.pdf)
,2026-07-10,[Announcement under Regulation 30 (LODR)-Press Release / Media Release](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0085c40a-51ef-44a4-b1d0-f91b67c55a9e.pdf)
,2026-07-07,[Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations 2018](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=70503a6d-597a-4f27-b68b-853ce478f034.pdf)
,Date,Document
,---,---
,2026-07-18,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bac1ce1f-7666-45dd-a38c-30b39c97566e.pdf)
,2026-04-22,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c9f70d5a-4199-49a6-a197-3bc07bd0945b.pdf)
,2026-01-17,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=39ed0f43-01cb-40ae-8467-518e14b65f97.pdf)
,2025-10-17,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=680347ab-5bd0-4b0d-a8c6-c2d44b3b666e.pdf)
,2025-07-17,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=931c078f-3512-4f34-baee-2bb6d7426dad.pdf)
,2025-05-02,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d50d13c2-6cac-4d36-8c7f-b7534d59f8e9.pdf)
,2025-01-29,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2d53cc04-406c-4709-8162-adab97351b94.pdf)
,2024-10-25,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c9481b9a-9f66-4c9c-966e-9806784f8369.pdf)
,2024-07-23,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=803b0616-9505-4a65-af72-41933e6d41e3.pdf)
,2024-04-26,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a3d6d867-c0c7-465e-ba7a-399fca08aa2a.pdf)
,Date,Document
,---,---
,2026-07-13,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fbb726f7-2a52-455e-9aa8-9fca1faddbf7.pdf)
,2026-01-09,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=43c8064b-55bc-4f11-95ae-a4a9b702679c.pdf)
,2025-10-13,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=97feeb21-6696-40d6-b6ea-cb2575675dc7.pdf)
,2025-07-11,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e8e60df5-f6fa-49b2-a544-7b6aec5caf4e.pdf)
,2025-04-25,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f6c37a90-bf09-4318-a258-e3f319e5ae19.pdf)
,2024-10-21,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c0ac701c-3d02-461f-9f0e-3771c6f2d606.pdf)
,2024-07-18,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0dcc27c0-7a4d-4090-8abb-002bf1edcf7d.pdf)
,2024-04-22,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8b6ba8a1-ac1c-4e18-8909-e0db74863f74.pdf)
,2024-01-29,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a9582736-6304-438a-bf2a-75cd73eaf4e1.pdf)
,2023-10-23,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1ef6192f-bf76-40ba-8468-e6cee19c472f.pdf)
,Date,Document
,---,---
,2026-07-10,[Financial Results For The Quarter Ended On 30Th June 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=121a57d7-c909-40c8-84fe-f26cbd3d764d.pdf)
