Item,Date,Document
,2026-09-09,[Announcement under Regulation 30 (LODR)-Appointment of Statutory Auditor/s](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=32cc2170-7110-46a5-b257-bd8755c518cb.pdf)
,2026-09-08,[Update- Appointment Of Statutory Auditors For FY 2026-27](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f3131108-048b-432b-b7e4-96e3e1711803.pdf)
,2026-09-03,[Announcement under Regulation 30 (LODR)-Change in Directorate](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=72a00d47-78b0-4752-882a-03753837b6ab.pdf)
,2026-08-31,[Letter To Shareholders Pursuant To Regulation 36(1)(B) Of The SEBI (Listing Obligations And Disclosure Requirements) Regulations 2015](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f345a569-b60f-4e19-aaa8-29b0f668865f.pdf)
,2026-08-27,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3630d38e-55f8-4a36-972c-5ae4f9392125.pdf)
,2026-08-26,[Reg. 34 (1) Annual Report.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b03c3406-252c-440a-b0ac-67be5f9ffb85.pdf)
,2026-08-26,[Business Responsibility and Sustainability Reporting (BRSR)](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=699dd1cf-5a38-424b-9e53-5ea261d13c26.pdf)
,2026-08-26,[Notice Of 61St AGM Along With Annual Report](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f8371838-1f3d-44e6-a4ce-6872a6f3d381.pdf)
,2026-08-21,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cce3e6f2-6d19-41f9-ba92-f5272edc1466.pdf)
,2026-08-19,[(I) Intimation Of Date Of 61St Annual General Meeting For FY 2025-26 (Ii) Intimation Of Record Date For Final Dividend For FY 2025-26](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cf6859ae-4e24-4ede-919d-305031f2bd0f.pdf)
,Date,Document
,---,---
