Item,Indicator,Value,Signal
,SMA (10),275.03,Sell
,EMA (10),270.6,Sell
,SMA (20),260.52,Buy
,EMA (20),263.15,Buy
,SMA (50),244.09,Buy
,EMA (50),250.61,Buy
,SMA (100),243.44,Buy
,EMA (100),240.5,Buy
,SMA (200),220.57,Buy
,EMA (200),227.64,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),58.5,Neutral
,"MACD (12,26,9)",9.62,Buy
,"Stochastic (14,3,3)",62.02,Neutral
,ADX (14),41.26,Buy
,Williams %R (14),-44.85,Neutral
,ATR (14),9.49,High Volatility
,ROC (12),7.43,Buy
,Stoch RSI (14),14.53,Buy
,"UO (7,14,28)",46.15,Neutral
