Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,505,486,551,720,741,727,705,773,792,807,757,873
Expenses,324,311,402,470,477,477,453,496,504,526,484,577
Operating Profit,181,176,148,250,265,250,252,277,288,282,272,296
OPM %,36,36,27,35,36,34,36,36,36,35,36,34
Other Income,3,4,15,2,5,4,8,4,3,-17,2,2
Interest,16,18,33,60,59,57,54,49,50,49,46,47
Depreciation,42,46,54,76,80,81,77,71,69,70,70,72
Profit before tax,126,116,77,116,129,116,129,161,173,145,159,179
Tax %,3,12,-4,22,25,25,21,22,22,25,-75,20
Net Profit,122,101,80,90,96,87,102,125,134,109,279,143
EPS in Rs,9.07,7.55,5.22,6.12,6.73,6.15,6.89,8.66,8.82,7.32,20.33,10.28
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,856,982,1074,1212,1347,1685,2009,2894,3129,3230,,
Expenses,533,637,702,781,858,1146,1332,1876,2009,2092,,
Operating Profit,322,345,372,431,489,539,677,1018,1120,1138,,
OPM %,38,35,35,36,36,32,34,35,36,35,,
Other Income,26,31,12,9,22,9,22,18,-9,-9,,
Interest,11,23,2,2,4,26,85,231,193,191,,
Depreciation,26,36,50,43,65,117,183,315,280,281,,
Profit before tax,312,317,331,394,442,405,431,489,639,657,,
Tax %,6,8,11,10,8,8,8,23,-1,—,,
Net Profit,295,291,297,355,406,374,397,375,648,666,,
EPS in Rs,21.39,21.15,21.84,26.16,29.88,28.1,28.82,25.84,44.72,46.75,,
Dividend Payout %,0,0,13,21,20,26,0,28,16,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,14,14,14,14,14,14,14,14,14,14,,
Reserves,553,848,1137,1283,1563,1895,2182,2573,2841,3889,,
Borrowings,1,377,176,0,7,84,877,2781,2478,2359,,
Other Liabilities,124,170,175,205,202,233,337,1366,1415,861,,
Total Liabilities,692,1408,1502,1502,1785,2226,3410,6734,6747,7123,,
Fixed Assets,232,771,761,875,854,918,2568,4319,5306,5188,,
CWIP,0,0,3,4,2,27,22,20,67,171,,
Investments,303,365,356,78,294,520,37,16,67,62,,
Other Assets,157,271,383,544,636,761,783,2379,1307,1702,,
Total Assets,692,1408,1502,1502,1785,2226,3410,6734,6747,7123,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,200,235,223,271,375,378,292,486,1065,538,,
Cash from Investing Activity,-184,-590,-5,123,-323,-320,-975,-1828,-78,-369,,
Cash from Financing Activity,-24,363,-221,-335,-82,-45,688,1380,-881,-314,,
Net Cash Flow,-8,8,-3,60,-30,14,5,38,105,-145,,
Free Cash Flow,150,210,186,125,350,258,-550,357,910,241,,
CFO/OP,94,94,85,87,103,94,68,87,114,59,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,24,28,31,53,42,44,63,77,58,79,,
Inventory Days,195,178,196,148,145,166,136,182,171,200,,
Days Payable,134,247,200,213,157,166,129,210,170,151,,
Cash Conversion Cycle,84,-40,28,-12,30,44,70,48,59,129,,
Working Capital Days,23,-13,-17,59,64,75,50,-296,-49,-71,,
ROCE %,60,34,26,25,27,25,17,11,12,14,,
