Item,Indicator,Value,Signal
,SMA (10),1320.73,Buy
,EMA (10),1332.04,Buy
,SMA (20),1324.09,Buy
,EMA (20),1334.73,Buy
,SMA (50),1376.83,Sell
,EMA (50),1358.63,Sell
,SMA (100),1380.66,Sell
,EMA (100),1379.01,Sell
,SMA (200),1410.52,Sell
,EMA (200),1410.61,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),55.15,Neutral
,"MACD (12,26,9)",-9.12,Buy
,"Stochastic (14,3,3)",90.41,Sell
,ADX (14),23.13,Neutral
,Williams %R (14),-6.71,Sell
,ATR (14),32.2,Neutral
,ROC (12),3.42,Buy
,Stoch RSI (14),98.34,Sell
,"UO (7,14,28)",52.93,Neutral
