Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,2848,3288,3562,4206,4799,5405,5833,7167,13590,16315,17292,20211
Expenses,2895,3237,3476,4029,4573,5243,5761,7052,13351,15947,16806,19617
Operating Profit,-47,51,86,177,226,162,72,115,239,368,486,594
OPM %,-1.6,1.6,2.4,4.2,4.7,3,1.2,1.6,1.8,2.3,2.8,2.9
Other Income,212,219,235,236,221,252,368,354,352,348,342,375
Interest,16,18,20,25,30,43,56,67,86,107,132,151
Depreciation,128,128,140,149,180,247,287,314,376,439,468,546
Profit before tax,21,124,161,239,237,124,97,88,129,170,228,272
Tax %,-71,-11,-9,-6,26,52,60,72,50,40,24,66
Net Profit,36,138,175,253,176,59,39,25,65,102,174,92
EPS in Rs,0.04,0.16,0.2,0.29,0.2,0.06,0.04,0.03,0.07,0.11,0.18,0.1
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,466,1313,2605,1994,4192,7079,12114,20243,54364,67408,,
Expenses,558,3556,4909,2461,6043,8290,12071,19606,53156,65721,,
Operating Profit,-92,-2243,-2305,-467,-1851,-1211,43,637,1208,1687,,
OPM %,-20,-171,-88,-23,-44,-17,0.3,3.1,2.2,2.5,,
Other Income,21,1285,16,-200,793,682,846,1077,1396,1417,,
Interest,6,9,13,10,12,49,72,154,392,476,,
Depreciation,29,43,84,138,150,437,526,863,1597,1829,,
Profit before tax,-107,-1010,-2386,-815,-1220,-1015,291,697,615,799,,
Tax %,0,0,0,0,0,-4,-21,24,40,—,,
Net Profit,-107,-1010,-2386,-816,-1222,-971,351,527,366,433,,
EPS in Rs,-3070.18,-28574.18,-70096.54,-23123.76,-1.54,-1.14,0.4,0.55,0.38,0.46,,
Dividend Payout %,0,0,0,0,0,0,0,0,0,—,,
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Equity Capital,0.03,0.03,0.03,0,764,836,868,907,919,,,
Reserves,1036,2356,457,7644,15741,18624,19545,29410,30061,,,
Borrowings,186,348,326,527,70,507,749,2045,4592,,,
Other Liabilities,152,709,2117,532,751,1632,2194,3261,5150,,,
Total Liabilities,1374,3413,2900,8704,17327,21599,23356,35623,40722,,,
Fixed Assets,190,389,1591,1539,1404,6344,6448,9532,12675,,,
CWIP,1,1,1,0,1,7,18,51,136,,,
Investments,829,2145,324,2205,4718,6765,11645,13192,14833,,,
Other Assets,354,879,985,4959,11204,8483,5245,12848,13078,,,
Total Assets,1374,3413,2900,8704,17327,21599,23356,35623,40722,,,
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Cash from Operating Activity,—,—,-2144,-1018,-693,-844,646,308,632,,,
Cash from Investing Activity,—,—,1740,-5245,-7971,797,-348,-7993,540,,,
Cash from Financing Activity,—,—,359,6402,8750,-127,-207,8042,-842,,,
Net Cash Flow,—,—,-45,139,86,-174,91,357,330,,,
Free Cash Flow,—,—,-2165,-1028,-750,-945,444,-623,-1114,,,
CFO/OP,—,—,92,222,36,67,1747,67,83,,,
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Debtor Days,20,20,17,24,14,24,24,35,12,,,
Inventory Days,—,—,—,28,28,22,11,12,26,,,
Days Payable,—,—,—,565,298,178,112,101,36,,,
Cash Conversion Cycle,20,20,17,-513,-257,-132,-77,-54,2,,,
Working Capital Days,-43,-31,-20,96,316,200,41,45,23,,,
ROCE %,—,-115,-135,-12,-13,-6,1,3,2,,,
