Item,Date,Document
,8 June 2026 - Fertilizers and Chemicals Travancore Limited has informed about General Updates,[General Updates 8 June 2026 - Fertilizers and Chemicals Travancore Limited has informed about General Updates](https://nsearchives.nseindia.com/corporate/FACT_08062026212027_CS-RO-NSE-136-HCL.pdf)
,7 Sep - Fertilizers and Chemicals Travancore Limited has informed about Copy of Newspaper Publication,[Copy of Newspaper Publication 7 Sep - Fertilizers and Chemicals Travancore Limited has informed about Copy of Newspaper Publication](https://nsearchives.nseindia.com/corporate/FACT_07092026214928_letter_to_nse_Newspaperad.pdf)
,"7 April 2026 - Fertilizers and Chemicals Travancore Limited has informed about Certificate under SEBI (Depositories and Participants) Regulations, 2018","[Certificate under SEBI (Depositories and Participants) Regulations, 2018 7 April 2026 - Fertilizers and Chemicals Travancore Limited has informed about Certificate under SEBI (Depositories and Participants) Regulations, 2018](https://nsearchives.nseindia.com/corporate/FACT_07042026152828_74_5_DP.pdf)"
,6 Jul - Fertilizers and Chemicals Travancore Limited has informed regarding Change in Director(s) of the company.,[Change in Director(s) 6 Jul - Fertilizers and Chemicals Travancore Limited has informed regarding Change in Director(s) of the company.](https://nsearchives.nseindia.com/corporate/FACT_06072026211222_assumption_of_charge_DM.pdf)
,"6 February 2026 - Exchange had sought clarification from Fertilizers and Chemicals Travancore Limited for the quarter ended 31-Dec-2025 with respect to Regulation 33 of the SEBI (LODR) Regulations, …","[Reply to Clarification- Financial results 6 February 2026 - Exchange had sought clarification from Fertilizers and Chemicals Travancore Limited for the quarter ended 31-Dec-2025 with respect to Regulation 33 of the SEBI (LODR) Regulations, …](https://nsearchives.nseindia.com/corporate/FACT_05022026154707_039_clarification_consolidation.pdf)"
,5 Sep - Record date for the purpose of Annual General Meeting is 22-Sep-2026.,[Record Date 5 Sep - Record date for the purpose of Annual General Meeting is 22-Sep-2026.](https://nsearchives.nseindia.com/corporate/FACT_05092026220606_Letter_to_NSEAGM_Notice_05092026.pdf)
,"5 Sep - Fertilizers and Chemicals Travancore Limited has informed regarding Notice of Annual General Meeting to be held on September 29, 2026","[Shareholders meeting 5 Sep - Fertilizers and Chemicals Travancore Limited has informed regarding Notice of Annual General Meeting to be held on September 29, 2026](https://nsearchives.nseindia.com/corporate/FACT_05092026215807_Letter_to_NSEAGM_Notice_05092026.pdf)"
,5 Sep - Fertilizers and Chemicals Travancore Limited has informed regarding ' Business Responsibility and Sustainability Report for the FY 2025-26'.,[Updates 5 Sep - Fertilizers and Chemicals Travancore Limited has informed regarding ' Business Responsibility and Sustainability Report for the FY 2025-26'.](https://nsearchives.nseindia.com/corporate/FACT_05092026220249_Letter_to_NSEBRSR_05092026.pdf)
,"5 May 2026 - Fertilizers and Chemicals Travancore Limited has informed regarding Cessation of Dr Aruna Kamineni as Non- Executive Independent Director of the company w.e.f. May 05, 2026.","[Cessation 5 May 2026 - Fertilizers and Chemicals Travancore Limited has informed regarding Cessation of Dr Aruna Kamineni as Non- Executive Independent Director of the company w.e.f. May 05, 2026.](https://nsearchives.nseindia.com/corporate/FACT_05052026175551_CS-RO-DIR-105.pdf)"
,4 April 2026 - FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED has informed about Resignation of Independent director.,[Resignation of Independent director 4 April 2026 - FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED has informed about Resignation of Independent director.](https://nsearchives.nseindia.com/corporate/FACT_ROID_81806_KMP_Doc.zip)
,Date,Document
,---,---
,from nse,[Annual Report 2013 from nse](https://archives.nseindia.com/annual_reports/AR_3077_FACT_2012_2013_12122013082741.zip)
,from nse,[Annual Report 2012 from nse](https://archives.nseindia.com/annual_reports/AR_FACT_2011_2012_18102012054343.zip)
,from nse,[Annual Report 2011 from nse](https://archives.nseindia.com/annual_reports/AR_FACT_2010_2011_16122011101407.zip)
,from nse,[Annual Report 2010 from nse](https://archives.nseindia.com/annual_reports/AR_FACT_2009_2010_08042011114444.zip)
,from bse,[Annual Report 2018 from bse](https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2018/FERTILISERS_&_CHEMICALS_TRAVANCORE_LTD-590024-MARCH-2018.PDF)
,from bse,[Annual Report 2017 from bse](https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2017/FERTILISERS_&_CHEMICALS_TRAVANCORE_LTD-590024-MARCH-2017.PDF)
,from bse,[Annual Report 2016 from bse](https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2016/FERTILISERS_&_CHEMICALS_TRAVANCORE_LTD-590024-MARCH-2016.PDF)
,from bse,[Annual Report 2013 from bse](https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2013/FERTILISERS_&_CHEMICALS_TRAVANCORE_LTD-590024-MARCH-2013.PDF)
,from bse,[Annual Report 2012 from bse](https://www.bseindia.com/bseplus/AnnualReport/590024/5900240312.pdf)
,from bse,[Annual Report 2011 from bse](https://www.bseindia.com/bseplus/AnnualReport/590024/5900240311.pdf)
,Date,Document
,---,---
,2022-03-14,[Clarification](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0E89FDD0-2841-46D3-8E1E-A2CE2817A601-154748.pdf)
,2021-08-02,[Clarification](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=CC9AB6CE-3EB8-483F-B370-43F54D3E01F9-185523.pdf)
