Item,Indicator,Value,Signal
,SMA (10),175.57,Sell
,EMA (10),176.67,Sell
,SMA (20),185.49,Sell
,EMA (20),184.29,Sell
,SMA (50),201.46,Sell
,EMA (50),198.14,Sell
,SMA (100),214.79,Sell
,EMA (100),212.96,Sell
,SMA (200),237.35,Sell
,EMA (200),241.46,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),23.4,Buy
,"MACD (12,26,9)",-9.64,Sell
,"Stochastic (14,3,3)",9.98,Buy
,ADX (14),34.18,Buy
,Williams %R (14),-93.74,Buy
,ATR (14),6.06,High Volatility
,ROC (12),-12.05,Sell
,Stoch RSI (14),56.36,Neutral
,"UO (7,14,28)",39.54,Neutral
