Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,519,567,616,666,702,727,752,787,799,815,817,829
Expenses,144,145,161,169,178,186,204,241,236,255,277,296
Financing Profit,269,294,318,339,361,370,373,359,384,371,358,361
Financing Margin %,52,52,52,51,51,51,50,46,48,46,44,44
Other Income,4,3,3,3,4,4,7,5,7,7,9,10
Interest,106,129,138,158,163,171,175,187,180,189,181,172
Depreciation,6,7,7,6,7,8,9,8,9,10,10,9
Profit before tax,267,290,313,336,358,365,371,355,382,369,357,362
Tax %,25,25,25,25,25,25,25,25,25,25,25,25
Net Profit,199,217,236,252,268,274,279,266,286,277,269,271
EPS in Rs,6.84,7.42,8.07,8.6,9.16,9.33,9.48,9.04,9.72,9.41,9.12,9.19
Gross NPA %,—,—,—,—,1.47,1.62,1.79,2.46,2.64,3.18,3.37,3.46
Net NPA %,—,—,—,—,0.71,0.81,0.88,1.25,1.46,1.94,2,2.1
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,196,402,787,1050,1254,1521,2183,2848,3218,3260,,
Expenses,64,107,210,237,337,439,582,733,1004,1064,,
Financing Profit,78,221,359,486,614,814,1128,1443,1472,1475,,
Financing Margin %,40,55,46,46,49,54,52,51,46,45,,
Other Income,1,1,1,1,2,8,12,18,28,33,,
Interest,55,73,218,327,302,268,472,672,742,721,,
Depreciation,3,4,10,11,12,17,25,30,37,38,,
Profit before tax,76,218,349,476,604,805,1116,1431,1463,1470,,
Tax %,28,28,25,25,25,25,25,25,25,—,,
Net Profit,54,156,262,359,454,604,836,1072,1099,1104,,
EPS in Rs,28.3,65.4,103.8,142.26,15.57,20.71,28.58,36.43,37.22,37.44,,
Dividend Payout %,0,0,0,0,0,0,0,5,0,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,14,19,24,26,26,29,29,29,29,30,,
Reserves,210,573,1341,1919,2293,3681,4310,5167,6275,7351,,
Borrowing,452,528,922,2364,3425,2559,4247,6316,7922,8200,,
Other Liabilities,14,14,31,45,50,74,116,177,194,209,,
Total Liabilities,690,1134,2317,4353,5794,6343,8703,11689,14421,15790,,
Fixed Assets,5,0,10,28,25,33,45,64,86,88,,
CWIP,2,0,0,0,0,0,0,0,62,72,,
Investments,15,15,15,0,0,248,145,108,212,227,,
Other Assets,669,1119,2293,4325,5769,6062,8513,11517,14060,15402,,
Total Assets,690,1134,2317,4353,5794,6343,8703,11689,14421,15790,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,—,-457,-940,-1523,-157,-277,-1123,-2122,-1045,-264,,
Cash from Investing Activity,—,10,14,-132,102,-384,162,210,-586,228,,
Cash from Financing Activity,—,393,1010,1725,1033,7,1688,2106,1593,157,,
Net Cash Flow,—,-53,84,70,977,-654,727,194,-38,121,,
Free Cash Flow,—,-461,-946,-1533,-160,-286,-1135,-2145,-1128,-290,,
CFO/OP,—,-323,-296,-246,-3,-13,-85,-115,-31,5,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,9,13,16,16,17,15,15,18,19,16,,
