Item,Indicator,Value,Signal
,SMA (10),4693.13,Buy
,EMA (10),4705.43,Buy
,SMA (20),4685.58,Buy
,EMA (20),4665.05,Buy
,SMA (50),4482.5,Buy
,EMA (50),4471.04,Buy
,SMA (100),4090.68,Buy
,EMA (100),4193.65,Buy
,SMA (200),3725.18,Buy
,EMA (200),3935.91,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),59.29,Neutral
,"MACD (12,26,9)",66.14,Sell
,"Stochastic (14,3,3)",74.95,Neutral
,ADX (14),35.23,Buy
,Williams %R (14),-26.87,Neutral
,ATR (14),151.04,High Volatility
,ROC (12),0.87,Buy
,Stoch RSI (14),73.72,Neutral
,"UO (7,14,28)",45.25,Neutral
