Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1770,1680,1786,1859,1988,1928,2007,2167,2331,2265,2365,2545
Expenses,1440,1396,1405,1516,1554,1553,1572,1676,1775,1759,1832,2008
Operating Profit,330,284,381,343,435,375,435,491,556,506,532,537
OPM %,19,17,21,18,22,19,22,23,24,22,23,21
Other Income,18,19,17,14,-42,47,-29,31,50,-34,-2,28
Interest,32,33,35,35,36,45,68,70,75,86,84,80
Depreciation,84,87,92,91,95,97,102,101,106,120,122,122
Profit before tax,233,183,271,230,261,279,237,351,425,266,324,363
Tax %,21,27,25,24,26,9,21,24,23,26,16,25
Net Profit,184,134,203,174,193,254,188,267,329,197,271,273
EPS in Rs,2.3,1.78,2.37,2.2,2.34,3.28,2.44,3.45,4.26,2.57,3.52,3.53
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,4561,4469,4632,4030,5718,6298,6893,7783,9128,9506,,
Expenses,4287,4238,4022,3626,4649,5196,5625,6195,7043,7375,,
Operating Profit,274,231,610,404,1069,1101,1268,1588,2085,2131,,
OPM %,6,5,13,10,19,17,18,20,23,22,,
Other Income,-689,228,126,95,367,157,64,-11,45,42,,
Interest,258,337,205,166,147,129,131,184,314,325,,
Depreciation,239,233,292,291,301,316,342,386,449,470,,
Profit before tax,-912,-110,239,43,988,814,858,1007,1366,1378,,
Tax %,2,103,62,230,20,22,25,20,22,—,,
Net Profit,-934,-224,91,-56,790,633,645,809,1064,1070,,
EPS in Rs,-19.46,-3.96,0.77,-1.45,7.35,7.8,7.93,10.26,13.8,13.88,,
Dividend Payout %,0,0,0,0,0,13,13,10,7,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,518,519,755,755,755,755,755,755,755,755,,
Reserves,4626,3543,5846,5906,5365,5423,6487,6908,8162,9141,,
Borrowings,2217,1962,2010,1594,1531,1255,926,1155,2475,3473,,
Other Liabilities,2227,2455,2875,2781,3216,4082,3921,4153,1985,2465,,
Total Liabilities,9588,8479,11486,11036,10866,11516,12089,12971,13377,15833,,
Fixed Assets,5419,4992,8477,8802,8799,9416,9426,9874,10424,12230,,
CWIP,268,226,450,204,165,193,228,542,407,434,,
Investments,1878,1732,270,175,186,104,210,230,169,243,,
Other Assets,2023,1529,2290,1856,1716,1803,2225,2326,2378,2926,,
Total Assets,9588,8479,11486,11036,10866,11516,12089,12971,13377,15833,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,966,493,-179,172,485,865,822,1100,1424,1601,,
Cash from Investing Activity,-1001,-333,-3279,63,-131,-501,-372,-889,-780,-1537,,
Cash from Financing Activity,259,-672,4257,-862,-143,-517,-471,-86,-714,164,,
Net Cash Flow,225,-513,799,-627,212,-153,-21,125,-70,228,,
Free Cash Flow,689,437,-261,35,274,750,367,172,591,673,,
CFO/OP,304,187,30,84,108,101,100,104,97,90,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,38,38,44,36,41,33,34,33,37,42,,
Inventory Days,23,24,22,30,29,33,31,24,23,24,,
Days Payable,215,279,296,226,205,178,179,164,161,165,,
Cash Conversion Cycle,-155,-217,-230,-161,-135,-112,-115,-107,-101,-99,,
Working Capital Days,-87,-113,-234,-150,-56,-35,-22,-124,-30,-34,,
ROCE %,11,3,6,4,2,10,10,10,12,13,,
