Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,950,1063,1177,1160,943,1118,1072,1128,1013,1074,1205,1146
Expenses,863,956,994,945,845,919,889,881,881,920,1020,961
Operating Profit,86,107,184,215,98,199,183,247,132,154,184,185
OPM %,9,10,16,19,10,18,17,22,13,14,15,16
Other Income,2,1,3,1,2,1,12,7,13,15,25,18
Interest,7,8,8,6,5,5,5,6,9,13,14,8
Depreciation,28,29,34,30,30,29,31,32,33,32,34,30
Profit before tax,54,71,145,179,65,165,159,216,103,123,162,165
Tax %,13,26,34,32,25,31,27,20,15,18,24,25
Net Profit,47,52,95,122,49,114,116,174,89,100,123,124
EPS in Rs,1.96,2.15,3.95,5.05,2.03,4.71,4.82,7.2,3.69,4.16,5.09,5.13
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,824,1064,865,1007,3017,4057,4227,4293,4419,4437,,
Expenses,738,938,833,896,2721,3693,3779,3598,3702,3782,,
Operating Profit,86,125,32,111,296,364,448,694,717,655,,
OPM %,10,12,3.7,11,10,9,11,16,16,15,,
Other Income,5,5,1,2,54,3,7,16,59,71,,
Interest,7,6,6,10,20,27,28,22,42,44,,
Depreciation,15,14,14,16,92,100,116,120,130,129,,
Profit before tax,69,110,13,88,237,240,311,568,604,552,,
Tax %,29,35,42,35,26,41,28,29,20,—,,
Net Profit,63,104,22,81,176,141,225,401,484,436,,
EPS in Rs,7.71,12.83,2.76,10.01,21.62,5.84,9.34,16.61,20.07,18.07,,
Dividend Payout %,3,2,0,0,0,0,11,8,10,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,81,81,81,81,81,81,241,241,241,241,,
Reserves,340,452,554,574,656,2002,1984,2209,2601,3075,,
Borrowings,74,56,51,123,114,387,538,462,378,548,,
Other Liabilities,31,94,31,54,79,219,186,223,328,406,,
Total Liabilities,527,683,718,832,930,2689,2949,3136,3548,4270,,
Fixed Assets,230,219,208,198,463,1452,1623,1894,1807,1856,,
CWIP,13,29,127,241,5,359,316,122,318,349,,
Investments,101,164,196,211,236,1,2,52,40,25,,
Other Assets,183,271,186,182,226,876,1009,1068,1383,2040,,
Total Assets,527,683,718,832,930,2689,2949,3136,3548,4270,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,42,122,76,57,92,234,96,344,579,602,,
Cash from Investing Activity,-52,-97,-69,-122,-75,-209,-225,-248,-460,-627,,
Cash from Financing Activity,7,-23,-10,65,-17,-19,126,-102,-114,121,,
Net Cash Flow,-2,2,-3,0,1,6,-3,-5,5,96,,
Free Cash Flow,6,96,-33,-50,46,-39,-132,151,337,364,,
CFO/OP,94,158,80,187,97,93,38,89,98,102,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,20,22,13,10,18,19,12,9,8,15,,
Inventory Days,77,65,51,69,66,50,48,48,51,63,,
Days Payable,17,47,8,19,18,24,7,6,11,20,,
Cash Conversion Cycle,80,41,55,59,66,45,53,51,48,58,,
Working Capital Days,22,38,27,19,11,45,40,49,58,66,,
ROCE %,8,14,18,3,12,16,10,12,19,18,,
