Item,Date,Document
,2026-09-02,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=eb3277ba-4b47-4b4a-b4fa-a8fc3a9d9207.pdf)
,2026-09-01,[Corrigendum To The Notice Of Postal Ballot Dated August 3 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b514e6a1-d5d5-4639-8152-b3b8d0392850.pdf)
,2026-08-26,[Volume Movement Letter](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=802f4ef8-514d-4b10-b78f-f4bab8235fff.pdf)
,2026-08-19,[Disclosure Under Regulation 30](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2d352cfd-c11e-4db7-8ed0-93d694b25357.pdf)
,2026-08-14,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=dab208ac-9ed9-4cb8-bd7e-6eaa811c9fde.pdf)
,2026-08-13,[Shareholder Meeting / Postal Ballot-Notice of Postal Ballot](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f9fcd9ea-6b5d-4fd7-a562-4037ddfbd4b8.pdf)
,2026-08-06,[Disclosure Under Regulation 30](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bff88681-ee5d-4af0-8635-7d3a8936bfeb.pdf)
,2026-08-06,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=78f2a689-8bf2-44e6-8bbc-8d2799100e40.pdf)
,2026-08-05,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cca60b47-c4a5-42a9-baba-903e51c7d773.pdf)
,2026-08-04,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2ff53b6e-585e-4e2e-92f7-6da4178a3bfd.pdf)
,Date,Document
,---,---
,7 Mar - Postal ballot to appoint Ronojit Biswas as Whole‑time Director & CFO (1Apr2026–31Mar2029); salary up to Rs16L/month; Rs20L sign‑on.,[Shareholder Meeting / Postal Ballot-Notice of Postal Ballot 7 Mar - Postal ballot to appoint Ronojit Biswas as Whole‑time Director & CFO (1Apr2026–31Mar2029); salary up to Rs16L/month; Rs20L sign‑on.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/cb41135f-90aa-4166-ac59-e237e0065f87.pdf)
