Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,957,805,930,815,1011,949,974,805,980,1041,995,938
Expenses,668,587,673,584,689,658,641,554,644,670,644,643
Operating Profit,289,218,257,231,322,292,333,251,336,371,351,296
OPM %,30,27,28,28,32,31,34,31,34,36,35,31
Other Income,28,-135,32,36,39,35,41,44,36,50,36,44
Interest,0,0,1,0,0,0,1,0,1,1,1,1
Depreciation,18,17,18,16,17,19,15,16,17,20,13,16
Profit before tax,299,65,271,249,344,308,359,279,354,400,373,322
Tax %,27,30,28,27,27,25,27,27,27,26,26,26
Net Profit,218,46,194,182,252,230,263,205,257,296,278,237
EPS in Rs,12.84,2.7,11.48,10.76,14.91,13.57,15.52,12.1,15.2,17.45,16.4,14
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,2871,3128,3224,2926,3278,3252,3454,3749,3822,3955,,
Expenses,2363,2527,2567,2327,2516,2447,2545,2570,2512,2601,,
Operating Profit,508,601,657,598,762,804,909,1179,1309,1354,,
OPM %,18,19,20,20,23,25,26,31,34,34,,
Other Income,70,131,-262,9,1401,103,-21,149,166,166,,
Interest,0,1,6,4,2,2,2,1,3,3,,
Depreciation,38,49,83,79,68,66,70,67,66,67,,
Profit before tax,540,683,306,525,2093,839,816,1260,1406,1449,,
Tax %,35,35,70,32,19,27,28,26,26,—,,
Net Profit,351,445,93,358,1695,611,590,928,1036,1068,,
EPS in Rs,20.7,26.29,5.5,21.14,100.04,36.05,34.83,54.75,61.15,63.05,,
Dividend Payout %,85,76,727,142,90,89,92,99,93,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,85,85,169,169,169,169,169,169,169,169,,
Reserves,1922,1973,1970,1651,1309,2494,1572,1608,1782,2098,,
Borrowings,2,1,1,0,35,20,16,19,10,33,,
Other Liabilities,995,1889,1771,1315,1602,1950,1570,1760,2147,2023,,
Total Liabilities,3004,3947,3911,3136,3115,4633,3327,3557,4108,4324,,
Fixed Assets,258,325,432,758,387,331,330,321,284,281,,
CWIP,605,923,1003,120,13,30,20,14,14,33,,
Investments,0,0,0,0,0,366,518,813,1118,1392,,
Other Assets,2140,2700,2477,2257,2715,3907,2458,2408,2692,2618,,
Total Assets,3004,3947,3911,3136,3115,4633,3327,3557,4108,4324,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,234,473,409,490,578,811,484,582,1290,903,,
Cash from Investing Activity,301,-104,-153,-57,418,-406,808,9,-46,397,,
Cash from Financing Activity,-511,-307,-358,-428,-696,-524,-1543,-562,-769,-737,,
Net Cash Flow,24,62,-102,6,300,-119,-251,29,475,563,,
Free Cash Flow,-24,639,166,336,536,2371,451,573,1273,870,,
CFO/OP,94,133,101,103,121,122,93,92,116,93,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,21,19,14,11,27,23,22,23,28,26,,
Inventory Days,111,147,131,135,159,144,131,144,126,124,,
Days Payable,73,149,109,100,135,156,122,171,186,154,,
Cash Conversion Cycle,60,17,36,46,50,11,31,-4,-31,-4,,
Working Capital Days,7,-90,-72,-38,-39,-94,-57,-64,-99,-91,,
ROCE %,22,26,31,33,38,37,36,51,63,61,,
