Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,3207,2507,3063,3244,3434,3388,3256,3264,6047,3901,3771,4018
Expenses,2745,2715,2559,2656,2832,2787,2695,2684,3687,3031,3008,3214
Operating Profit,462,-209,504,588,602,600,561,581,2360,870,763,805
OPM %,14,-8,16,18,18,18,17,18,39,22,20,20
Other Income,-205,87,351,31,39,31,-361,-297,-1184,-140,-184,66
Interest,121,134,149,40,48,52,67,58,66,41,43,54
Depreciation,141,147,151,118,120,123,125,130,141,154,148,173
Profit before tax,-6,-403,555,462,473,456,8,96,967,534,388,643
Tax %,997,-18,319,26,25,24,45,51,37,24,22,25
Net Profit,-62,-331,-1214,340,354,348,4,47,610,403,301,483
EPS in Rs,-2.9,-12.45,-43.17,12.06,12.55,12.33,0.16,1.66,21.63,14.29,10.68,17.11
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,9074,9865,10641,10944,12305,11583,11813,13322,16983,17737,,
Expenses,7457,8280,8942,8860,9978,9948,10618,10970,12410,12940,,
Operating Profit,1617,1586,1699,2084,2327,1635,1195,2351,4572,4797,,
OPM %,18,16,16,19,19,14,10,18,27,27,,
Other Income,89,375,191,95,-101,-10,336,-259,-1805,-1443,,
Interest,286,335,377,353,298,349,516,207,209,204,,
Depreciation,302,326,417,444,487,569,582,486,573,617,,
Profit before tax,1119,1301,1096,1382,1441,707,434,1399,1985,2533,,
Tax %,28,29,29,30,31,47,430,25,31,—,,
Net Profit,804,925,776,970,994,377,-1434,1047,1362,1798,,
EPS in Rs,28.49,32.78,27.5,34.38,33.37,10.53,-53.22,37.11,48.26,63.71,,
Dividend Payout %,7,6,9,7,7,24,-5,7,10,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,28,28,28,28,28,28,28,28,28,28,,
Reserves,4464,5135,5577,6042,7036,9058,9446,7820,8821,10484,,
Borrowings,4724,4639,4449,4869,4986,3962,4608,1231,2473,594,,
Other Liabilities,2548,2793,3235,3729,3524,4003,5289,5279,4669,8801,,
Total Liabilities,11764,12595,13289,14668,15575,17052,19371,14358,15991,19907,,
Fixed Assets,2755,3030,3670,5029,5129,5887,5422,4210,4487,5915,,
CWIP,708,1122,1399,1222,1382,1010,1190,662,835,909,,
Investments,16,15,30,25,25,50,45,790,56,42,,
Other Assets,8285,8429,8190,8393,9040,10105,12715,8697,10613,13041,,
Total Assets,11764,12595,13289,14668,15575,17052,19371,14358,15991,19907,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,657,1648,1324,1392,1131,1109,625,-265,-828,3445,,
Cash from Investing Activity,-1001,-1003,-883,-774,-662,-316,-515,4387,58,-1237,,
Cash from Financing Activity,543,-468,-739,-445,-442,-520,-77,-3906,787,-2709,,
Net Cash Flow,199,177,-297,174,28,272,32,215,17,-501,,
Free Cash Flow,-76,625,712,616,456,320,75,-1162,-1576,2090,,
CFO/OP,67,124,111,109,79,72,77,65,-6,92,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,97,94,81,83,86,92,115,57,92,107,,
Inventory Days,299,244,244,211,230,208,203,208,254,264,,
Days Payable,243,225,241,210,226,190,172,210,256,288,,
Cash Conversion Cycle,152,113,85,84,90,110,147,56,90,83,,
Working Capital Days,125,99,64,54,67,65,141,-2,44,81,,
ROCE %,21,15,15,14,15,16,10,12,19,40,,
