Item,Indicator,Value,Signal
,SMA (10),1143.03,Sell
,EMA (10),1145.67,Sell
,SMA (20),1168.05,Sell
,EMA (20),1171.16,Sell
,SMA (50),1253.14,Sell
,EMA (50),1196.11,Sell
,SMA (100),1170.76,Sell
,EMA (100),1165.02,Sell
,SMA (200),1068.42,Buy
,EMA (200),1124.44,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),35.74,Neutral
,"MACD (12,26,9)",-32.35,Sell
,"Stochastic (14,3,3)",10.44,Buy
,ADX (14),27.32,Buy
,Williams %R (14),-77.61,Neutral
,ATR (14),37.62,High Volatility
,ROC (12),-0.98,Sell
,Stoch RSI (14),54.08,Neutral
,"UO (7,14,28)",44.79,Neutral
