Item,Indicator,Value,Signal
,SMA (10),1925.28,Sell
,EMA (10),1904.66,Sell
,SMA (20),1979.45,Sell
,EMA (20),1955.19,Sell
,SMA (50),2039.26,Sell
,EMA (50),1974.3,Sell
,SMA (100),1910.57,Sell
,EMA (100),1936.03,Sell
,SMA (200),1861.75,Sell
,EMA (200),1927.05,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),25.97,Buy
,"MACD (12,26,9)",-50.85,Sell
,"Stochastic (14,3,3)",7.5,Buy
,ADX (14),17.76,Neutral
,Williams %R (14),-92.29,Buy
,ATR (14),65.21,High Volatility
,ROC (12),-14.11,Sell
,Stoch RSI (14),0,Buy
,"UO (7,14,28)",37,Neutral
