Item,Indicator,Value,Signal
,SMA (10),244.65,Sell
,EMA (10),245.81,Sell
,SMA (20),245.36,Sell
,EMA (20),244.96,Sell
,SMA (50),245.15,Sell
,EMA (50),248.8,Sell
,SMA (100),264.48,Sell
,EMA (100),255.32,Sell
,SMA (200),261.42,Sell
,EMA (200),252.8,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),49.14,Neutral
,"MACD (12,26,9)",0.31,Buy
,"Stochastic (14,3,3)",71.69,Neutral
,ADX (14),15.19,Neutral
,Williams %R (14),-58.64,Neutral
,ATR (14),7.74,High Volatility
,ROC (12),-0.56,Sell
,Stoch RSI (14),31.31,Neutral
,"UO (7,14,28)",54.44,Neutral
