Item,Indicator,Value,Signal
,SMA (10),756.35,Buy
,EMA (10),770.22,Buy
,SMA (20),733.35,Buy
,EMA (20),743.68,Buy
,SMA (50),690.29,Buy
,EMA (50),710.32,Buy
,SMA (100),693.84,Buy
,EMA (100),689.22,Buy
,SMA (200),658.19,Buy
,EMA (200),656.5,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),70.2,Sell
,"MACD (12,26,9)",29.31,Buy
,"Stochastic (14,3,3)",78.25,Neutral
,ADX (14),36.62,Buy
,Williams %R (14),-24.79,Neutral
,ATR (14),35.56,High Volatility
,ROC (12),19.84,Buy
,Stoch RSI (14),81.89,Sell
,"UO (7,14,28)",56.74,Neutral
