Item,Indicator,Value,Signal
,SMA (10),2502.28,Sell
,EMA (10),2500.99,Sell
,SMA (20),2562.37,Sell
,EMA (20),2537.36,Sell
,SMA (50),2589.47,Sell
,EMA (50),2584.18,Sell
,SMA (100),2673.74,Sell
,EMA (100),2598.86,Sell
,SMA (200),2558.63,Sell
,EMA (200),2554.45,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),32.84,Neutral
,"MACD (12,26,9)",-40.36,Sell
,"Stochastic (14,3,3)",10.44,Buy
,ADX (14),15.15,Neutral
,Williams %R (14),-78.64,Neutral
,ATR (14),63.36,Neutral
,ROC (12),-7.71,Sell
,Stoch RSI (14),0,Buy
,"UO (7,14,28)",34.67,Neutral
