Item,Indicator,Value,Signal
,SMA (10),1165.13,Sell
,EMA (10),1158.32,Sell
,SMA (20),1217.16,Sell
,EMA (20),1192.79,Sell
,SMA (50),1227.19,Sell
,EMA (50),1216.57,Sell
,SMA (100),1214.1,Sell
,EMA (100),1234.86,Sell
,SMA (200),1288.74,Sell
,EMA (200),1288.52,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),22.28,Buy
,"MACD (12,26,9)",-35.22,Sell
,"Stochastic (14,3,3)",4.52,Buy
,ADX (14),34.12,Buy
,Williams %R (14),-92.71,Buy
,ATR (14),27.01,Neutral
,ROC (12),-11.73,Sell
,Stoch RSI (14),0,Buy
,"UO (7,14,28)",37.55,Neutral
