Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,26672,28446,28499,28057,28862,29890,30246,30349,31942,33872,33981,34579
Expenses,20743,21659,22382,22264,22493,23030,23764,24314,25397,26460,27269,27709
Operating Profit,5929,6787,6117,5793,6369,6860,6482,6035,6545,7412,6712,6870
OPM %,22,24,21,21,22,23,21,20,20,22,20,20
Other Income,365,370,416,1103,456,477,449,456,415,-571,322,361
Interest,156,140,171,191,131,166,156,209,215,205,240,84
Depreciation,1010,1143,1093,998,1007,1039,1040,1093,1043,1127,1092,1039
Profit before tax,5128,5874,5269,5707,5687,6132,5735,5189,5702,5509,5702,6108
Tax %,25,26,24,25,26,25,25,26,26,26,21,24
Net Profit,3833,4351,3995,4259,4237,4594,4309,3844,4236,4082,4490,4626
EPS in Rs,14.12,16.03,14.69,15.69,15.61,16.92,15.87,14.16,15.61,15.02,16.54,17.04
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,50569,60427,70676,75379,85651,101456,109913,117055,130144,134374,,
Expenses,39323,46501,53360,55331,65122,78828,85715,91551,103392,106835,,
Operating Profit,11246,13926,17316,20048,20529,22628,24198,25504,26752,27539,,
OPM %,22,23,24,27,24,22,22,22,21,20,,
Other Income,1230,943,589,927,1067,1358,1495,2485,574,527,,
Interest,69,174,505,511,319,353,553,644,869,744,,
Depreciation,1383,2073,3420,4611,4326,4145,4173,4084,4355,4301,,
Profit before tax,11024,12622,13980,15853,16951,19488,20967,23261,22102,23021,,
Tax %,21,20,21,30,20,24,25,25,25,—,,
Net Profit,8722,10120,11057,11169,13523,14845,15710,17399,16652,17434,,
EPS in Rs,31.32,37.31,40.75,41.07,49.74,54.73,57.86,64.08,61.33,64.21,,
Dividend Payout %,19,11,25,24,84,88,90,94,88,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,285,278,271,543,543,543,543,543,543,543,,
Reserves,32664,36108,41095,50724,59370,61371,64862,67720,69112,74622,,
Borrowings,582,557,4195,7986,6864,6343,4794,5756,6276,5215,,
Other Liabilities,12231,11046,12788,23566,19270,20664,23051,24987,28549,34732,,
Total Liabilities,45762,47989,58349,82819,86047,88921,93250,99006,104480,115112,,
Fixed Assets,15235,18753,22888,37490,37145,35077,34619,35063,36172,37297,,
CWIP,448,320,235,400,312,129,40,108,59,142,,
Investments,1306,2660,2305,7066,6862,6351,5495,7137,7564,7090,,
Other Assets,28773,26256,32921,37863,41728,47364,53096,56698,60685,70583,,
Total Assets,45762,47989,58349,82819,86047,88921,93250,99006,104480,115112,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,8995,8328,8971,13359,19618,16900,18009,22448,22261,19975,,
Cash from Investing Activity,-3890,-2236,-3256,-12332,-5665,1597,-3573,-6608,-4896,-656,,
Cash from Financing Activity,-4517,-5714,-1471,-3168,-11192,-14508,-15881,-15464,-18561,-19369,,
Net Cash Flow,588,378,4244,-2141,2761,3989,-1445,376,-1196,-50,,
Free Cash Flow,5184,3007,5537,11530,17865,15345,16565,21432,21178,18576,,
CFO/OP,106,95,83,92,115,99,96,110,104,90,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,64,70,71,73,85,88,92,85,81,88,,
Cash Conversion Cycle,64,70,71,73,85,88,92,85,81,88,,
Working Capital Days,38,58,44,14,48,44,43,31,17,23,,
ROCE %,34,31,31,27,26,25,28,30,32,30,,
