Item,Date,Document
,2026-09-01,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=10af7936-d8dd-4d34-ba5a-5915a83716ed.pdf)
,2026-08-20,[Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ced781de-3165-4991-b5d9-87553b1771ea.pdf)
,2026-08-18,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8df91e1c-fc25-4756-bf23-1d4ead65e39a.pdf)
,2026-08-11,[Intimation Of ESG Rating](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7b0d5712-0172-4c4d-ad33-7afea0e90065.pdf)
,2026-08-04,[Announcement under Regulation 30 (LODR)-Change in Management](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0eadd721-860a-41ee-b70b-ea9672fcdc6d.pdf)
,2026-08-03,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9b872226-890a-4489-b17b-cfa790e3e6ff.pdf)
,2026-07-20,[Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=48dd8784-8784-4b91-bc65-6d853ee0800b.pdf)
,2026-07-16,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=90ce9bb2-03a9-41e7-9d1c-1b06ed8396d9.pdf)
,2026-07-16,[Intimation Of ESG Rating](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=44c01952-8450-4aaa-a47d-64697eac2341.pdf)
,2026-07-13,[Intimation Of ESG Rating](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=12b74999-25eb-43b7-a4b0-22769ce8c1e7.pdf)
,Date,Document
,---,---
,2026-07-17,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=69974142-160a-4d8c-8c66-28d1f0769c77.pdf)
,2026-04-22,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=988afa1b-34d6-46ed-a41c-541db589948e.pdf)
,2026-01-16,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f06741b3-e8ab-4cce-8b7b-efd2c22dec40.pdf)
,2025-10-17,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e781bc11-71bc-48c8-b8db-474ce3ca203a.pdf)
,2025-07-22,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b6be84ee-d5fc-44f3-b050-a6e6c5114ca5.pdf)
,2025-04-23,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=98fefa7f-e3fd-4aa9-8d06-ebb311e61cef.pdf)
,2025-01-17,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f1e47005-deea-423d-88ce-10f70edcc304.pdf)
,2024-10-18,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=98f7af3a-04c6-4933-9065-7b2900687b60.pdf)
,2024-07-22,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c8ae5092-3587-4519-8832-82594db12d98.pdf)
,2024-04-25,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7a195cd7-6b51-4576-897e-de0b237d1336.pdf)
,Date,Document
,---,---
,2026-07-15,[Outcome Of Board Meeting](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=76acbcd4-fa77-421b-8b0d-53c18698364d.pdf)
,2026-04-16,[Outcome Of Board Meeting](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=68857e64-88e7-4b03-8963-3209c8bb660d.pdf)
,2026-01-14,[Financial Result For Quarter And Nine Months Ended December 31 2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9fefce17-b29a-47ca-9521-1e478c3b200f.pdf)
,2025-10-15,[Outcome Of Board Meeting](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fb2305f2-bdf8-4222-9817-87ebd21f99a0.pdf)
,2025-07-17,[Unaudited Financial Results For The Quarter Ended June 30 2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d9a3b94e-b8f0-4386-b88d-fefe21e59d71.pdf)
,2025-04-17,[Outcome Of Board Meeting Results](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5cd39d77-624a-450a-b54d-0946c4ae34a8.pdf)
,2025-01-14,[Financial Results For The Quarter And Nine Months Ended December 31 2024](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=13254dd0-b3af-4caf-801f-abf7e35ab350.pdf)
,2024-10-15,[Outcome Of Board Meeting Results](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=33821ec9-c0d4-46e9-a1b2-c6ddffd9ffed.pdf)
,2024-07-15,[Outcome Of Board Meeting](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=934d7173-b1eb-419e-83d3-5618ad349fe2.pdf)
,2024-04-19,[Outcome Of Board Meeting](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=16014b9f-860f-46fb-9c11-35f095c69c3a.pdf)
,Date,Document
,---,---
,2026-07-15,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fbfe25a8-f315-4e38-bf7b-a73b57463123.pdf)
,2026-04-16,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=af251812-68f1-4cf3-91fa-005977d76050.pdf)
,2026-01-14,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1a12e3bb-8a31-46df-969a-1705eef22c86.pdf)
,2025-10-15,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c60a09e1-16b4-45d6-bb26-43f535e5b7f8.pdf)
,2025-07-17,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=39005259-2aa4-4d22-8289-5158ea596a5b.pdf)
,2025-04-17,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9a4e8608-f847-43da-b4f6-48da4984952f.pdf)
,2025-01-14,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a8522ad2-72b9-4d78-85ad-06eca7f03c35.pdf)
,2024-10-15,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ed604b92-8e3c-42b5-9154-9ea6b8010159.pdf)
,2024-07-15,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ecec2762-349b-42f6-a47f-c5935e28c22e.pdf)
,2024-04-19,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4304acbf-1028-4943-b37a-a2fe1983b121.pdf)
,Date,Document
,---,---
,2026-07-15,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f1d8a846-de2f-4321-86b0-659c83d0a154.pdf)
,2026-04-16,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0fa2b997-8a75-44b6-a9ef-c2639cbb5e50.pdf)
,2026-01-14,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1c86f694-7dfe-41c2-9a74-1db2b33502b9.pdf)
,2025-10-15,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5d7cdf53-d362-42f4-9267-b9ab59217c81.pdf)
,2025-07-17,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e6e6216d-edc9-4948-a13f-48f93b900072.pdf)
,2025-04-17,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=45579de6-5c99-43e1-a76d-67d41a197bae.pdf)
,2024-10-15,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7282d607-94c2-4f52-92cb-ac161563f586.pdf)
,2024-07-15,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=12b5503d-e48f-4608-befa-fb8753a95612.pdf)
,2024-04-19,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c58d6b8f-b5e9-4ab2-97bd-e8a71eac73b7.pdf)
,2024-01-11,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c3959ef4-a190-4a64-929f-0433c24b4030.pdf)
,Date,Document
,---,---
