Item,Date,Document
,"9 Mar - HDFC Life senior management to attend Morgan Stanley Virtual India Financials Seminar on March 19, 2026; presentation hosted online.","[Investor/Analyst Meet-Intimation 9 Mar - HDFC Life senior management to attend Morgan Stanley Virtual India Financials Seminar on March 19, 2026; presentation hosted online.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/c55fe852-7f55-4c99-b048-060ce0ef1b2a.pdf)"
,"9 Feb - Feb 10, 2026 Advantage India - Axis Capital investor conference in Mumbai canceled.","[Cancellation Of Analyst/ Institutional Investor Meet 9 Feb - Feb 10, 2026 Advantage India - Axis Capital investor conference in Mumbai canceled.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/ff132091-7450-4d8d-99d1-e39da66ee27d.pdf)"
,"8 Mar - HDFC Life granted 10,000 ESOPs at Rs.668.55 on Mar 8, 2026; 50% vest at 3rd and 4th anniversaries.","[Grant Of Stock Options Under Employee Stock Option Scheme 8 Mar - HDFC Life granted 10,000 ESOPs at Rs.668.55 on Mar 8, 2026; 50% vest at 3rd and 4th anniversaries.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/effe56e7-dcc2-448d-9838-2cb6b282dd46.pdf)"
,"8 Mar - HDFC Life appoints Vijay Vaidyanathan as Chief Human Resource Officer effective April 1, 2026.","[Appointment Of Chief Human Resource Officer 8 Mar - HDFC Life appoints Vijay Vaidyanathan as Chief Human Resource Officer effective April 1, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/4cf38009-eae4-4d1e-ab03-7d0652492472.pdf)"
,"7h - Board approved Vibha Padalkar’s reappointment as MD & CEO for five years from September 12, 2026.","[Re-Appointment Of Ms Vibha Padalkar As Managing Director & Chief Executive Officer 7h - Board approved Vibha Padalkar’s reappointment as MD & CEO for five years from September 12, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/8c840e51-118c-4755-aec0-410783a5c4fe.pdf)"
,"7h - Audio recording of April 16, 2026 earnings call for quarter and year ended March 31, 2026 hosted online.","[Audio Recording Of Earnings Call For The Quarter And Year Ended March 31, 2026 7h - Audio recording of April 16, 2026 earnings call for quarter and year ended March 31, 2026 hosted online.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/f6827db0-7daa-4494-9fb8-686cdc701d7f.pdf)"
,7 Mar - Deputy Commissioner upheld GST demand Rs 104.79 crore tax and Rs 94.31 crore interest; company to appeal; no material impact.,"[Disclosure Under Regulation 30 Of SEBI (Listing Obligation And Disclosure Requirement) Regulation, 2015 7 Mar - Deputy Commissioner upheld GST demand Rs 104.79 crore tax and Rs 94.31 crore interest; company to appeal; no material impact.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/a6e6f0fd-33d2-4b46-8096-7486a62f69e0.pdf)"
,"7 Apr - HDFC Life will host FY26 earnings call on April 16, 2026 at 17:00 IST.","[Intimation Of Earnings Call 7 Apr - HDFC Life will host FY26 earnings call on April 16, 2026 at 17:00 IST.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/06931d5e-80e6-427f-b8bc-95d7fe252283.pdf)"
,"6h - HDFC Life approved 8,70,471 ESOP 2025 and 32,372 ESOP 2022 options at Rs. 609.75 each.","[Grant Of Stock Options Under Employee Stock Option Scheme 6h - HDFC Life approved 8,70,471 ESOP 2025 and 32,372 ESOP 2022 options at Rs. 609.75 each.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/78eb05e4-9aa4-4a0b-8fb1-7bb92df5681d.pdf)"
,"4h - Updated preferential issue of 1,45,23,906 shares to HDFC Bank; post-issue stake rises to 50.27%.","[Disclosure Under Regulation 30 Of The SEBI (LODR) Regulations, 2015 - Update On Preferential Issue Of Equity Shares To HDFC Bank Limited 4h - Updated preferential issue of 1,45,23,906 shares to HDFC Bank; post-issue stake rises to 50.27%.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/d32c4b20-3943-4d83-8ebf-e65600c7139e.pdf)"
,Date,Document
,---,---
,2026-08-31,[Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1be0d04c-b833-4f0c-a01e-cf1000a7f8e7.pdf)
,2026-08-26,[Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0a39d389-03b7-4f69-8117-f81cf37720df.pdf)
,2026-08-19,[Approval From The Insurance Regulatory And Development Authority Of India (IRDAI) For Re-Appointment Of Executive Directors](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0230b2c8-89bd-4c12-9304-1c1e4842231a.pdf)
,2026-08-04,[Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d6a2efd0-ec75-47a9-b59d-9d99844cf60f.pdf)
,2026-07-16,[Shareholder Meeting / Postal Ballot-Outcome of AGM](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7ff42693-3503-444b-a017-d43082d7a0b5.pdf)
,2026-07-15,[Board Meeting Outcome for Outcome Of Board Meeting - July 15 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d2f1efa2-fe8c-4e3a-9fb3-70e5b8e5f58f.pdf)
,2026-07-15,[Announcement Under Regulation 30 (LODR)-Press Release / Media Release](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=64071e47-2586-407e-ad0e-492d09033610.pdf)
,2026-07-15,[Statement Of Deviation Or Variation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f406dbf0-d13d-44a3-abd4-9a2f5f932fc3.pdf)
,2026-07-15,[Completion Of Tenure Of Mr Sumit Bose Independent Director](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0a738264-d769-493b-b500-61bbfc76513b.pdf)
,2026-07-06,[Intimation Of Earnings Call](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=730ba7a0-fc8a-420c-974c-31f3fe28b01f.pdf)
,Date,Document
,---,---
,2026-07-22,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4ea5debd-fa20-4ac2-9e0e-674ee56302d4.pdf)
,2025-10-24,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c64b47e2-a19d-4418-97c0-51173663bf6e.pdf)
,2025-07-22,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a2e71549-0cba-48f5-b558-4166bf86fe28.pdf)
,2025-04-25,[Transcript Of Earnings Conference Call For The Year Ended March 31 2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=762b7c78-603a-4cd5-8ac9-03e8e7792883.pdf)
,2025-01-23,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fc8efa9f-c24b-433b-a91d-d4d007448aa7.pdf)
,2025-01-22,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9432255a-e795-4e86-b693-b1404c7fb657.pdf)
,2024-10-21,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=33928595-a68b-442c-89a7-c329b144a905.pdf)
,2024-07-23,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4cc3662e-e6a4-40ed-b60f-34ce0ba089cd.pdf)
,2024-04-25,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=271ab4a9-c3a8-49af-b7eb-6f14383ffe00.pdf)
,2024-01-19,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8704b30b-1004-4ece-a0ba-44d1d99d88b3.pdf)
,Date,Document
,---,---
,2026-07-15,[Audio Recording Of Earnings Call For The Quarter Ended June 30 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=434d6428-356b-49b7-853e-42c866f78608.pdf)
,2024-04-18,"[Audio Recording Of Earnings Conference Call For The Quarter And Year Ended March 31, 2024](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c800c8d6-90f1-4389-bffb-e9144f4b0537.pdf)"
,2023-10-13,"[Audio Recording Of Earnings Conference Call For The Quarter And Half-Year Ended September 30, 2023](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6ee99fea-a891-466d-99c8-e464bf5823d1.pdf)"
,2023-07-22,"[Audio Recording Of Earnings Conference Call For The Quarter Ended June 30, 2023](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a04cf5ed-c3e8-418c-b91b-2578a2e56d6e.pdf)"
,2023-04-26,[Audio Recording Of Earnings Conference Call](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=970c9dae-6d5d-4679-96cd-4045daf18301.pdf)
,2023-01-21,"[Audio Recording Of Earnings Conference Call For The Quarter And Nine Months Ended December 31, 2022](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=243c10e4-4f15-4257-9ddb-22e1d9fe744d.pdf)"
,2022-10-22,"[Audio Recording Of Earnings Conference Call For The Quarter And Half-Year Ended September 30, 2022](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b549720f-2259-48e3-ba32-1bff71d37cd4.pdf)"
,Date,Document
,---,---
,Oct 2025,[Concall - Oct 2025](https://www.bseindia.com/xml-data/corpfiling/AttachHis/c64b47e2-a19d-4418-97c0-51173663bf6e.pdf)
,Oct 2024,[Concall - Oct 2024](https://www.bseindia.com/xml-data/corpfiling/AttachHis/33928595-a68b-442c-89a7-c329b144a905.pdf)
,Oct 2023,[Concall - Oct 2023](https://www.bseindia.com/xml-data/corpfiling/AttachHis/65668625-4770-4dd9-81fe-26053ba30ecc.pdf)
,Oct 2023,[Concall - Oct 2023](https://www.bseindia.com/xml-data/corpfiling/AttachHis/99cc881f-92f2-407f-a54b-f9ac79bcacc6.pdf)
,Nov 2022,[Concall - Nov 2022](https://www.bseindia.com/xml-data/corpfiling/AttachHis/4c1cd50f-79e9-4693-9465-bd3b8f4e8c25.pdf)
,May 2023,[Concall - May 2023](https://www.bseindia.com/xml-data/corpfiling/AttachHis/588b0a1b-f170-4b43-b876-5b4bfd65b393.pdf)
,May 2022,[Concall - May 2022](https://www.bseindia.com/xml-data/corpfiling/AttachHis/c4a8826f-d800-4014-a281-14bb2b074237.pdf)
,Jul 2025,[Concall - Jul 2025](https://www.bseindia.com/xml-data/corpfiling/AttachHis/a2e71549-0cba-48f5-b558-4166bf86fe28.pdf)
,Jul 2024,[Concall - Jul 2024](https://www.bseindia.com/xml-data/corpfiling/AttachHis/4cc3662e-e6a4-40ed-b60f-34ce0ba089cd.pdf)
,Jul 2023,[Concall - Jul 2023](https://www.bseindia.com/xml-data/corpfiling/AttachHis/2062a5b4-e92f-4e65-87ff-1eab03e7099d.pdf)
,Date,Document
,---,---
,from bse,[Annual Report 2026 from bse](https://www.bseindia.com/xml-data/corpfiling/AttachHis/87058873-f32d-4ce7-af23-5b6fc65815e1.pdf)
,from bse,[Annual Report 2025 from bse](https://www.bseindia.com/xml-data/corpfiling/AttachHis/a1f4064f-7b6d-4576-b056-76575c115c31.pdf)
,from bse,[Annual Report 2024 from bse](https://www.bseindia.com/xml-data/corpfiling/AttachHis/2f629b99-2387-483c-8557-8aa62eeb1b06.pdf)
,from bse,[Annual Report 2023 from bse](https://www.bseindia.com/xml-data/corpfiling/AttachHis/0ad36710-bdcb-426a-9e82-420ace156e09.pdf)
,from bse,[Annual Report 2022 from bse](https://www.bseindia.com/bseplus/AnnualReport/540777/73107540777.pdf)
,from bse,[Annual Report 2021 from bse](https://www.bseindia.com/bseplus/AnnualReport/540777/68635540777.pdf)
,from bse,[Annual Report 2020 from bse](https://www.bseindia.com/bseplus/AnnualReport/540777/5407770320.pdf)
,from bse,[Annual Report 2019 from bse](https://www.bseindia.com/bseplus/AnnualReport/540777/5407770319.pdf)
,from bse,[Annual Report 2018 from bse](https://www.bseindia.com/bseplus/AnnualReport/540777/5407770318.pdf)
,from bse,[Annual Report 2017 from bse](https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2017/HDFC_LIFE_INSURANCE_CO_LTD-540777-MARCH-2017.PDF)
,Date,Document
,---,---
,2024-04-18,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ddf0c247-b733-4d7f-a527-0fafb3704e82.pdf)
,2024-01-12,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1cbce191-48c9-46e2-8814-d5e429877332.pdf)
