Item,Indicator,Value,Signal
,SMA (10),525.87,Sell
,EMA (10),521.29,Sell
,SMA (20),539.46,Sell
,EMA (20),534.11,Sell
,SMA (50),552.44,Sell
,EMA (50),540.61,Sell
,SMA (100),524.87,Sell
,EMA (100),541.57,Sell
,SMA (200),569.54,Sell
,EMA (200),568.14,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),28.43,Buy
,"MACD (12,26,9)",-13.17,Sell
,"Stochastic (14,3,3)",3.02,Buy
,ADX (14),18.51,Neutral
,Williams %R (14),-98.5,Buy
,ATR (14),17.1,High Volatility
,ROC (12),-10.43,Sell
,Stoch RSI (14),0,Buy
,"UO (7,14,28)",38.47,Neutral
