Item,Date,Document
,"9h - Issue up to 7.5 crore warrants to promoters at ₹74 each (~₹555 crore); EGM April 24, 2026.","[Announcement under Regulation 30 (LODR)-Preferential Issue 9h - Issue up to 7.5 crore warrants to promoters at ₹74 each (~₹555 crore); EGM April 24, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/7bed6138-1acf-4e0e-92b4-e3eb1e1ccebc.pdf)"
,"9h - HFCL to set up preform plant (300–310 MT/yr) costing ~₹580 crore, completion by July 2029.","[Outcome Of The Meeting Of The Board Of The Company - Establishment Of Preform Manufacturing Facility 9h - HFCL to set up preform plant (300–310 MT/yr) costing ~₹580 crore, completion by July 2029.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/ac13057e-ca4b-4f1b-96c5-482cb950ca97.pdf)"
,"9h - HFCL to invest up to INR175cr into HASPL; acquires Spiral, Raddef, TWS; export order book ~INR1,570cr.","[Outcome Of The Meeting Of The Board Of The Company - Strategic Expansion And Consolidation Of Defence, Aeronautics And Aerostructure Business 9h - HFCL to invest up to INR175cr into HASPL; acquires Spiral, Raddef, TWS; export order book ~INR1,570cr.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/cb7178b3-7e9e-4046-8852-88185c764214.pdf)"
,"9h - HFCL secures export orders worth USD 19.32 million for optical fiber cables, executable by August 2026.","[Announcement under Regulation 30 (LODR)-Award_of_Order_Receipt_of_Order 9h - HFCL secures export orders worth USD 19.32 million for optical fiber cables, executable by August 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/6a68c1b6-cbf0-4a05-a253-1008bc05f3f0.pdf)"
,"9h - Board meeting March 25, 2026 to consider preferential warrants to promoters; trading window closed March 21–30, 2026.","[Board Meeting Intimation for Advance Intimation Of Board Meeting - Consideration Of Issue Of Warrants On Preferential Basis To The Promoter(S) / Promoter Group Entity(Ies) 9h - Board meeting March 25, 2026 to consider preferential warrants to promoters; trading window closed March 21–30, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/ea4ea1d9-4024-4d34-a912-a323e40d0cfa.pdf)"
,"8h - With reference to the above cited subject, we hereby submit the copies of the Public Notice by way of Advertisement in Newspapers, published today i.e. …","[Announcement under Regulation 30 (LODR)-Newspaper Publication 8h - With reference to the above cited subject, we hereby submit the copies of the Public Notice by way of Advertisement in Newspapers, published today i.e. …](https://www.bseindia.com/xml-data/corpfiling/AttachLive/a6f11d64-089f-4680-b108-be7ad728dabd.pdf)"
,"8h - The Company will host an audio Earnings Conference Call for 60 Minutes, as per following schedule:- Day, Date & Time of the Conference Call : …","[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation 8h - The Company will host an audio Earnings Conference Call for 60 Minutes, as per following schedule:- Day, Date & Time of the Conference Call : …](https://www.bseindia.com/xml-data/corpfiling/AttachLive/7d2109c0-b834-47b4-893a-e0364f808497.pdf)"
,"8h - HFCL held EGM on April 24, 2026; shareholders transacted special resolution for preferential issue.","[Shareholder Meeting / Postal Ballot-Scrutinizer""s Report 8h - HFCL held EGM on April 24, 2026; shareholders transacted special resolution for preferential issue.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/f18fd17a-5a98-4235-99ef-1aae300423c6.pdf)"
,"8h - HFCL held EGM on April 24, 2026 for preferential securities issue; voting results due by April 28.","[Shareholder Meeting / Postal Ballot-Outcome of EGM 8h - HFCL held EGM on April 24, 2026 for preferential securities issue; voting results due by April 28.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/c5d662d3-0c10-4856-9cb4-ef8b77bcf7f8.pdf)"
,"8h - HFCL EGM on April 24, 2026 approved preferential issue of securities with requisite majority.","[Shareholder Meeting / Postal Ballot-Scrutinizer""s Report 8h - HFCL EGM on April 24, 2026 approved preferential issue of securities with requisite majority.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/1c1f175a-81e5-4392-822b-02c6771d9c0e.pdf)"
,Date,Document
,---,---
,2026-09-06,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cf2da358-b976-4eef-876f-5ba8c91401ad.pdf)
,2026-09-05,[39Th Annual General Meeting - 29Th September 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=75a8b3e7-5349-40f5-b60f-2c161c8bdc74.pdf)
,2026-09-05,[Reg. 34 (1) Annual Report.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=60894750-bb6f-4e13-8e70-876062e55b18.pdf)
,2026-09-05,[Business Responsibility and Sustainability Reporting (BRSR)](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f1d0bddf-1132-4861-ad02-af9661169749.pdf)
,2026-09-05,[Corporate Action - Record Date September 22 2026 For Dividend](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e671c2b0-8c9c-41cb-bd8a-0874ad0aaf17.pdf)
,2026-09-05,[Dispatch Of Letter To Shareholders Providing Web-Link To Annual Report](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a3c67340-202f-48bc-813c-064e9f5a7972.pdf)
,2026-09-03,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7999a902-5ab8-44d5-aee0-b7e5e058e79e.pdf)
,2026-09-01,[Announcement under Regulation 30 (LODR)-Award_of_Order_Receipt_of_Order](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3d3249f1-1d6c-491b-8a40-200e0c3c441d.pdf)
,2026-08-19,[Intimation Under Regulation 30 Of SEBI (Listing Obligations And Disclosure Requirements) Regulations 2015 (SEBI Listing Regulations)](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f2ede813-b460-4925-ac6c-14cc2e3dc7e1.pdf)
,2026-08-15,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d7292904-fd29-4ef1-a155-1e8b7d53bcfd.pdf)
,Date,Document
,---,---
,2026-07-29,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bbc45887-fdfd-4470-8565-f5f5b09fee2d.pdf)
,2026-05-08,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3d0dd925-2be0-4b2f-9445-072ed9304615.pdf)
,2026-02-10,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4b343f8f-c184-416f-902d-f13fa9638bad.pdf)
,2025-10-28,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9f05c17e-2d03-4e56-84c3-6edc036ac0b8.pdf)
,2025-08-01,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=993e2759-0023-47f3-9fa7-62103181d2aa.pdf)
,2025-05-30,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b0d58ed9-027e-4867-a884-b27279d4d247.pdf)
,Date,Document
,---,---
,2026-07-22,[Outcome Of The Meeting Of The Board Of Directors Held On July 22 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=45859d04-e761-45de-8b32-59a6d2a131cd.pdf)
,2026-04-30,[Audited Financial Results Of The Company For The 4Th Quarter And Financial Year Ended March 31 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=295b7a01-24f0-40d4-bda8-a1a6ee3f0473.pdf)
,2026-02-03,[Un-Audited Financial Results Of The Company For The 3Rd Quarter And Nine Months Ended December 31 2025 Of The Financial Year 2025-26 Both On Standalone And Consolidated Basis](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6c4f6658-9099-4734-8bbd-802193c76bc1.pdf)
,2025-10-17,[Un-Audited Financial Results Of The Company For The 2Nd Quarter And Half Year Ended September 30 2025 Of The Financial Year 2025-26 Both On Standalone And Consolidated](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6cb92723-edec-4ca0-a9e0-d68a21b8f276.pdf)
,2025-07-25,[Un-Audited Financial Results Of The Company For The 1St Quarter Ended June 30 2025 Of The Financial Year 2025-26 Both On Standalone And Consolidated Basis](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c8b42a95-c55d-42b5-a71f-8b6eb89d8a17.pdf)
,2025-05-22,[Audited Financial Results](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ef6ac4bc-71c6-4bc9-8c7e-f23005930d8e.pdf)
,Date,Document
,---,---
,2026-07-22,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=04062a8c-13f7-4769-8d46-8232a221febc.pdf)
,2026-04-30,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8c90090f-8ae9-4a58-904f-329003bfca3f.pdf)
,2026-04-30,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=aa76fc75-e13e-477a-9311-73915e6e1575.pdf)
,2026-02-03,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6ab63406-beb7-4c83-aafd-3099bb074152.pdf)
,2025-10-17,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=729c5d15-9310-4812-9fd9-9c7ada7f8445.pdf)
,2025-07-25,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=70085fa5-6a51-4280-a9d1-eeb62d3ec96d.pdf)
,2025-05-23,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5a6f23d7-9c89-4e58-b2c9-e717a88f815a.pdf)
,Date,Document
,---,---
,2026-07-19,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c353620e-8163-48c3-bc2a-97f5e6962bce.pdf)
,2026-04-30,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ea5ff8e1-0804-48a0-94ec-0e6461421f4b.pdf)
,2026-04-27,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7d2109c0-b834-47b4-893a-e0364f808497.pdf)
,2026-02-03,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e9dcc7be-6c8a-4abb-bcaf-f3f6afae4a55.pdf)
,2025-10-17,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d6a99607-1584-4be3-aa78-f6a72cde71de.pdf)
,2025-10-13,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1cb511f5-9404-47eb-af64-89cbd49ca924.pdf)
,2025-07-25,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6d83933f-ca30-42e3-a4f0-4e374c8e1c69.pdf)
,2025-07-19,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d78d56d2-24d2-458e-9ea7-ee4394415c1e.pdf)
,2025-05-23,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cadf6a18-6b93-41a2-b63a-263679ae2fdf.pdf)
,Date,Document
,---,---
,Oct 2025,[Concall - Oct 2025](https://www.bseindia.com/xml-data/corpfiling/AttachHis/9f05c17e-2d03-4e56-84c3-6edc036ac0b8.pdf)
,May 2026,[Concall - May 2026](https://www.bseindia.com/xml-data/corpfiling/AttachHis/3d0dd925-2be0-4b2f-9445-072ed9304615.pdf)
,Jul 2025,[Concall - Jul 2025](https://www.bseindia.com/xml-data/corpfiling/AttachHis/70085fa5-6a51-4280-a9d1-eeb62d3ec96d.pdf)
,Feb 2026,[Concall - Feb 2026](https://www.bseindia.com/xml-data/corpfiling/AttachHis/4b343f8f-c184-416f-902d-f13fa9638bad.pdf)
,Aug 2025,[Concall - Aug 2025](https://www.bseindia.com/xml-data/corpfiling/AttachHis/993e2759-0023-47f3-9fa7-62103181d2aa.pdf)
,Apr 2026,[Concall - Apr 2026](https://www.bseindia.com/xml-data/corpfiling/AttachHis/8c90090f-8ae9-4a58-904f-329003bfca3f.pdf)
,Apr 2026,[Concall - Apr 2026](https://www.bseindia.com/xml-data/corpfiling/AttachHis/aa76fc75-e13e-477a-9311-73915e6e1575.pdf)
