Item,Indicator,Value,Signal
,SMA (10),237.01,Sell
,EMA (10),237.12,Sell
,SMA (20),235.38,Sell
,EMA (20),233.37,Buy
,SMA (50),220.45,Buy
,EMA (50),218.68,Buy
,SMA (100),192.48,Buy
,EMA (100),191.63,Buy
,SMA (200),131.3,Buy
,EMA (200),155.22,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),52.01,Neutral
,"MACD (12,26,9)",5.92,Sell
,"Stochastic (14,3,3)",50.78,Neutral
,ADX (14),20.88,Neutral
,Williams %R (14),-58.92,Neutral
,ATR (14),11.4,High Volatility
,ROC (12),-0.93,Sell
,Stoch RSI (14),21.33,Neutral
,"UO (7,14,28)",51.43,Neutral
