Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,95752,111348,114678,113888,99957,110608,109633,110825,100856,115153,114937,140584
Expenses,87512,109187,109796,111800,97661,105113,103845,103365,94003,108155,105726,156707
Operating Profit,8240,2160,4882,2089,2296,5495,5788,7461,6852,6998,9211,-16122
OPM %,9,1.9,4.3,1.8,2.3,5,5,7,7,6,8,-11
Other Income,1040,791,594,933,526,462,930,507,715,727,1910,648
Interest,590,620,720,733,944,931,757,817,824,734,1020,818
Depreciation,1247,1345,1632,1484,1530,1518,1623,1604,1612,1674,2457,1878
Profit before tax,7443,986,3124,805,348,3509,4338,5547,5131,5317,7644,-18170
Tax %,22,28,13,21,59,28,21,26,25,25,21,-32
Net Profit,5827,713,2709,634,143,2544,3415,4111,3859,4011,6065,-12265
EPS in Rs,27.38,3.35,12.73,2.98,0.67,11.95,16.05,19.32,18.14,18.85,28.5,-57.64
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,219510,275491,269092,233248,349913,440709,433857,434106,441771,471530,,
Expenses,208732,263963,263887,217194,339669,447901,408929,417658,411126,464592,,
Operating Profit,10778,11527,5204,16055,10244,-7192,24928,16448,30645,6938,,
OPM %,4.9,4.2,1.9,7,2.9,-1.6,6,3.8,7,1.5,,
Other Income,2785,2383,679,2731,3897,3942,3725,2072,3736,4001,,
Interest,618,786,1139,963,997,2174,2556,3365,3396,3397,,
Depreciation,2834,3085,3370,3625,4000,4560,5596,6154,7347,7621,,
Profit before tax,10110,10039,1374,14197,9144,-9984,20500,9000,23638,-79,,
Tax %,29,33,-92,25,20,-30,22,25,24,—,,
Net Profit,7218,6691,2639,10663,7294,-6980,16015,6736,18047,1671,,
EPS in Rs,31.58,29.27,11.54,48.83,34.28,-32.8,75.26,31.66,84.81,7.85,,
Dividend Payout %,36,36,56,31,27,0,28,33,29,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,1016,1524,1524,1524,1452,1419,1419,1419,2128,2128,,
Reserves,20055,24008,28876,29456,36628,39985,30844,45502,49016,63428,,
Borrowings,22130,21952,28192,44001,43709,48498,70671,66684,70558,55964,,
Other Liabilities,37127,42197,48762,41935,52438,64774,58452,69188,73067,81544,,
Total Liabilities,80329,89681,107354,116918,134228,154676,161387,182794,194770,203064,,
Fixed Assets,36876,38695,41642,48952,50912,58126,68387,79763,86179,100430,,
CWIP,1867,4011,9519,17170,25336,28907,25607,20078,17967,8033,,
Investments,11773,12882,14297,14396,15093,18867,23689,29540,27046,28012,,
Other Assets,29811,34094,41896,36400,42887,48775,43703,53413,63577,66590,,
Total Assets,80329,89681,107354,116918,134228,154676,161387,182794,194770,203064,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,10254,11037,8554,5469,17829,15810,-3466,23852,14231,36111,,
Cash from Investing Activity,-5304,-7398,-11382,-14168,-12279,-13745,-11384,-13019,-10559,-11404,,
Cash from Financing Activity,-4239,-4423,2598,8452,-4709,-2066,16025,-16155,-4139,-22770,,
Net Cash Flow,712,-784,-230,-247,841,-1,1175,-5322,-467,1936,,
Free Cash Flow,4400,4334,-2713,-8325,6222,3782,-12646,13906,4814,27999,,
CFO/OP,114,121,92,138,131,168,46,97,84,131,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,8,9,8,5,11,7,6,8,10,6,,
Inventory Days,42,35,30,29,53,40,25,32,35,38,,
Days Payable,28,30,25,17,30,30,20,26,28,30,,
Cash Conversion Cycle,21,15,12,17,33,17,11,14,18,14,,
Working Capital Days,-35,-29,-25,-34,-38,-29,-30,-33,-35,-29,,
ROCE %,29,24,20,5,19,12,-8,21,11,22,,
