Item,Date,Document
,"7 May - Transcript of the Earnings Call for the quarter and financial year ended 31st March, 2026","[Announcement under Regulation 30 (LODR)-Earnings Call Transcript 7 May - Transcript of the Earnings Call for the quarter and financial year ended 31st March, 2026](https://www.bseindia.com/xml-data/corpfiling/AttachLive/55988411-440d-4801-8c08-90a5908c4a04.pdf)"
,"6h - Copy of Newspaper Publication dated 22nd April, 2026","[Announcement under Regulation 30 (LODR)-Newspaper Publication 6h - Copy of Newspaper Publication dated 22nd April, 2026](https://www.bseindia.com/xml-data/corpfiling/AttachLive/933754a9-adfb-4045-b738-06692f151c5c.pdf)"
,"6 Apr - Copy of Newspaper Publication dated 3rd April, 2026","[Announcement under Regulation 30 (LODR)-Newspaper Publication 6 Apr - Copy of Newspaper Publication dated 3rd April, 2026](https://www.bseindia.com/xml-data/corpfiling/AttachHis/724ae5a6-e93c-434f-a867-89c112fa235a.pdf)"
,"5h - Of Earnings Conference Call for the quarter and financial year ended 31st March, 2026","[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation 5h - Of Earnings Conference Call for the quarter and financial year ended 31st March, 2026](https://www.bseindia.com/xml-data/corpfiling/AttachLive/f2a62033-d5fa-4716-9c85-69c51a29d5b3.pdf)"
,"5h - Announcement under Regulation 30 of the SEBI (LODR) Regulations, 2015","[Announcement under Regulation 30 (LODR)-Newspaper Publication 5h - Announcement under Regulation 30 of the SEBI (LODR) Regulations, 2015](https://www.bseindia.com/xml-data/corpfiling/AttachLive/d8773eb6-64f5-4408-b409-9830d30f9c4b.pdf)"
,4 Mar - HUL completed sale of its entire 19.8% stake in Nutritionalab for approx INR 307 Crore on 4 March 2026.,[Announcement under Regulation 30 (LODR)-Diversification / Disinvestment 4 Mar - HUL completed sale of its entire 19.8% stake in Nutritionalab for approx INR 307 Crore on 4 March 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/85664ebb-3e33-4717-b011-309cb8c3bb8c.pdf)
,"30 Apr - HUL reported Q4 FY26 revenue up 8%, FY26 PAT ₹10,652 crore, and proposed ₹22 final dividend.","[Announcement under Regulation 30 (LODR)-Press Release / Media Release 30 Apr - HUL reported Q4 FY26 revenue up 8%, FY26 PAT ₹10,652 crore, and proposed ₹22 final dividend.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/c928e16f-a82c-4bba-8f44-abfc5c1b5b5d.pdf)"
,30 Apr - HUL announced FY26 audited results and recommended Rs 22 final dividend; total dividend Rs 41 per share.,"[Record Date For Final Dividend For FY 2025-26 Is 23Rd June, 2026. 30 Apr - HUL announced FY26 audited results and recommended Rs 22 final dividend; total dividend Rs 41 per share.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/c10dc046-9b66-425b-ab71-e676e41469e4.pdf)"
,30 Apr - HUL announced FY26 audited results and recommended Rs 22 final dividend; total dividend Rs 41 per share.,"[Record Date For Final Dividend For FY 2025-26 Is 23Rd June, 2026. 30 Apr - HUL announced FY26 audited results and recommended Rs 22 final dividend; total dividend Rs 41 per share.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/c10dc046-9b66-425b-ab71-e676e41469e4.pdf)"
,30 Apr - Board approved re-appointment of Ashu Suyash as Independent Director for five years from 12 Nov 2026.,[Announcement under Regulation 30 (LODR)-Change in Directorate 30 Apr - Board approved re-appointment of Ashu Suyash as Independent Director for five years from 12 Nov 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/f565e7a3-072c-4a15-8b14-92c14700ace9.pdf)
,Date,Document
,---,---
,2026-09-09,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=56b4f75a-8e0c-4c0a-ab55-30bd26b12cc3.pdf)
,2026-09-04,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d9d8d7e9-c5ef-40ef-bbd6-bc832320c0d5.pdf)
,2026-07-28,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=163e0f27-042e-41a9-9db7-14f5d0172218.pdf)
,2026-02-12,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6e6dea43-db7a-4075-82c6-71024ed4436a.pdf)
,2025-10-23,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b38b0312-d563-42a1-96e7-d61213c82925.pdf)
,2025-07-31,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4df29a3d-78e4-47ca-a31b-b709351cf655.pdf)
,2025-04-24,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=935a2031-ae72-4611-92f3-227ee7a569c6.pdf)
,2025-01-22,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9d005c7b-caf7-48b9-bbe6-8bdecc3d395d.pdf)
