Item,Indicator,Value,Signal
,SMA (10),592.99,Sell
,EMA (10),592.55,Sell
,SMA (20),591.82,Sell
,EMA (20),589.6,Sell
,SMA (50),565.25,Buy
,EMA (50),578.57,Sell
,SMA (100),580.61,Sell
,EMA (100),574.47,Buy
,SMA (200),581.13,Sell
,EMA (200),560.84,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),46.72,Neutral
,"MACD (12,26,9)",6,Sell
,"Stochastic (14,3,3)",29.97,Neutral
,ADX (14),22.23,Neutral
,Williams %R (14),-83.6,Buy
,ATR (14),18.55,High Volatility
,ROC (12),-7.99,Sell
,Stoch RSI (14),0,Buy
,"UO (7,14,28)",41.32,Neutral
