Item,Indicator,Value,Signal
,SMA (10),35073.5,Sell
,EMA (10),35090.76,Sell
,SMA (20),35817.5,Sell
,EMA (20),35743.07,Sell
,SMA (50),37265.9,Sell
,EMA (50),36359.05,Sell
,SMA (100),35693.15,Sell
,EMA (100),35751.83,Sell
,SMA (200),33814.98,Buy
,EMA (200),35094.73,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),34.26,Neutral
,"MACD (12,26,9)",-777.39,Sell
,"Stochastic (14,3,3)",12,Buy
,ADX (14),23,Neutral
,Williams %R (14),-76.29,Neutral
,ATR (14),829.5,Neutral
,ROC (12),-5.12,Sell
,Stoch RSI (14),37.24,Neutral
,"UO (7,14,28)",42.29,Neutral
