Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1005,1053,1177,1200,1137,1141,1135,1118,1071,1184,1288,1432
Expenses,847,879,997,1008,929,920,901,873,838,941,1046,1144
Operating Profit,158,174,180,192,208,221,233,245,233,243,242,288
OPM %,16,17,15,16,18,19,21,22,22,20,19,20
Other Income,10,10,12,13,14,12,14,27,36,47,62,56
Interest,16,21,14,13,11,12,9,16,15,16,17,22
Depreciation,12,13,13,13,13,15,14,15,17,18,19,21
Profit before tax,139,150,166,179,197,206,224,241,237,255,268,301
Tax %,28,28,30,31,31,31,31,26,26,25,23,24
Net Profit,101,109,115,123,136,141,155,179,176,192,208,228
EPS in Rs,2.29,2.47,2.34,2.48,2.74,2.88,3.15,3.68,3.57,3.81,3.98,4.55
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,2022,2422,1806,1679,2791,4172,4185,4613,4661,4974,,
Expenses,1569,1863,1525,1549,2635,3773,3540,3758,3699,3969,,
Operating Profit,452,560,280,131,156,399,645,854,962,1005,,
OPM %,22,23,16,8,6,10,15,19,21,20,,
Other Income,12,8,8,14,-17,-2,43,52,171,201,,
Interest,70,71,55,33,36,66,64,45,64,71,,
Depreciation,33,34,39,47,50,51,50,55,68,75,,
Profit before tax,361,462,194,65,53,280,574,806,1001,1060,,
Tax %,31,30,-6,27,27,23,28,31,25,—,,
Net Profit,248,324,205,47,39,216,411,555,755,804,,
EPS in Rs,5.91,7.75,4.91,1.13,0.98,4.99,8.34,11.25,14.89,15.91,,
Dividend Payout %,2,2,3,13,20,5,6,5,5,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,42,42,42,42,42,42,43,49,49,50,,
Reserves,988,1373,1590,1692,1751,1826,2237,2996,3672,4656,,
Borrowings,774,660,476,505,729,587,842,605,313,770,,
Other Liabilities,308,341,680,323,269,999,555,798,621,830,,
Total Liabilities,2112,2416,2788,2562,2791,3454,3678,4449,4656,6306,,
Fixed Assets,1174,1178,1170,1475,1468,1546,1515,1534,1605,1942,,
CWIP,13,22,133,158,160,77,94,67,185,372,,
Investments,87,273,179,47,66,113,132,478,582,1060,,
Other Assets,838,943,1305,882,1098,1718,1938,2371,2283,2933,,
Total Assets,2112,2416,2788,2562,2791,3454,3678,4449,4656,6306,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,205,258,476,283,-40,331,54,405,447,382,,
Cash from Investing Activity,10,-50,-224,-214,-114,-28,-397,-405,-235,-963,,
Cash from Financing Activity,-233,-200,-257,-41,165,-182,377,7,-271,590,,
Net Cash Flow,-18,8,-6,28,11,121,34,7,-60,10,,
Free Cash Flow,201,195,272,36,-76,308,-22,352,276,-63,,
CFO/OP,98,75,102,113,-20,223,25,77,69,64,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,60,49,55,61,100,66,44,57,50,55,,
Inventory Days,164,112,124,121,100,125,61,85,68,96,,
Days Payable,74,39,100,68,45,127,39,69,28,47,,
Cash Conversion Cycle,150,122,79,113,155,65,66,73,90,103,,
Working Capital Days,19,29,40,10,15,-1,1,32,69,57,,
ROCE %,11,22,25,11,4,5,13,19,22,22,,
