Item,Indicator,Value,Signal
,SMA (10),667.17,Sell
,EMA (10),670.48,Sell
,SMA (20),684.14,Sell
,EMA (20),684.19,Sell
,SMA (50),715.67,Sell
,EMA (50),692.77,Sell
,SMA (100),671.55,Sell
,EMA (100),660.17,Buy
,SMA (200),567.42,Buy
,EMA (200),601.81,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),40.23,Neutral
,"MACD (12,26,9)",-17.07,Sell
,"Stochastic (14,3,3)",35.02,Neutral
,ADX (14),21.45,Neutral
,Williams %R (14),-59.89,Neutral
,ATR (14),22.72,High Volatility
,ROC (12),0.16,Buy
,Stoch RSI (14),77.22,Neutral
,"UO (7,14,28)",47.6,Neutral
