Item,Date,Document
,2026-09-10,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6d1074ba-6de0-47ef-bf39-12d3e34f91bb.pdf)
,2026-09-09,[Intimation Under Regulation 30 Of SEBI (Listing Obligations And Disclosure Requirements) Regulations 2015](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ed4e45cc-64c8-4c9e-90a9-741b65b65c69.pdf)
,2026-08-28,[Intimation Regarding Sale Of Equity Shares Of The Company By One Of Its Promoters Prudential Corporation Holdings Limited In The Open Market For Complying With Minimum Public Shareholding Requirement](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=62be28cf-bf9c-434b-ad20-6229c771a297.pdf)
,2026-08-26,[Intimation Regarding Proposed Sale Of Equity Shares Of The Company By One Of The Promoters Prudential Corporation Holdings Limited To Divest A Part Of Its Shareholding In The Open Market For Complying With Minimum Public Shareholding Requirement](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5e24a7cf-bd2f-4f9d-b076-fc26435f5437.pdf)
,2026-08-26,[Announcement under Regulation 30 (LODR)-Code of Conduct under SEBI (PIT) Regulations 2015](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7c77a102-d2c3-4e5e-a68b-ecafcbd4d6f8.pdf)
,2026-08-11,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c5a05020-a7bb-4595-87cb-256f832c825b.pdf)
,2026-08-10,[Board Meeting Outcome for Outcome Of The Board Meeting Held On August 10 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=66e7722a-61ec-4c76-ac35-bc1e46a70048.pdf)
,2026-08-10,[Announcement under Regulation 30 (LODR)-Acquisition](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7dc80f48-b659-4d0f-97e6-e44b2cfdbe36.pdf)
,2026-07-14,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=dbaacfe2-ed9b-4042-9f3c-0048363dbe2c.pdf)
,2026-07-13,[Board Meeting Outcome for Outcome Of The Board Meeting Held On July 13 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b7c95be8-df48-4cb8-b547-817e1ef5c085.pdf)
,Date,Document
,---,---
,2026-07-16,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=315ae9c4-8f45-456c-a289-89e9fac12d73.pdf)
,2026-04-17,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fdb70d8a-6984-42cc-b675-84b74553b015.pdf)
,2026-01-21,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=757af29a-20f7-44f6-bf4a-2f21c417fdd7.pdf)
,Date,Document
,---,---
,2026-07-13,[Financial Results For Quarter Ended June 30 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=50dcd6eb-fa27-4814-a00b-318cf61a8328.pdf)
,2026-04-13,[Financial Results For Period Ended March 31 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6b164820-193e-4640-b1b9-bbdb4b8765a3.pdf)
,2026-01-14,[Financial Results For The Quarter And Nine Months Ending December 31 2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=71d36d5e-6f08-4a62-8b89-53d19e7eaec2.pdf)
,Date,Document
,---,---
,2026-07-13,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5786713a-a2f6-481c-a9d6-438e9177546b.pdf)
,2026-04-13,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=12b27680-7a28-4a3b-b7b8-962cc14a940c.pdf)
,Date,Document
,---,---
,2026-07-13,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=66106313-9278-4249-b095-9f18b748dc7b.pdf)
,2026-04-14,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8fcc8785-76d3-4aad-8872-499e3eea146e.pdf)
,2026-01-14,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=143cb9f7-64d3-4a7a-8d03-d35ea9a9383b.pdf)
,Date,Document
,---,---
,9h - FY26 audited results approved; final dividend ₹12.40/share; secretarial auditor appointed; 0.78m options and 0.19m units granted.,[Financial Results For Period Ended March 31 2026 9h - FY26 audited results approved; final dividend ₹12.40/share; secretarial auditor appointed; 0.78m options and 0.19m units granted.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/6b164820-193e-4640-b1b9-bbdb4b8765a3.pdf)
,"9h - Board approved FY26 audited results, ₹12.40 final dividend, secretarial auditor appointment, and ESOP/ESU grants.","[Grant Of Options Under ESOP/ESU 9h - Board approved FY26 audited results, ₹12.40 final dividend, secretarial auditor appointment, and ESOP/ESU grants.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/bce8da76-e8c6-4d80-9a5d-3fa6e7e29dd7.pdf)"
,"9h - April 13, 2026 board approved FY26 audited results, Rs12.40 dividend, 0.78m ESOPs, 0.19m stock units.","[Corporate Action-Board approves Dividend 9h - April 13, 2026 board approved FY26 audited results, Rs12.40 dividend, 0.78m ESOPs, 0.19m stock units.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/9020c587-09dc-4b56-ace1-baed8eb2d766.pdf)"
,"7h - SEBI issued settlement order on April 16, 2026; ₹14.36 lakh paid for venture fund tenure extension matter.","[Announcement under Regulation 30 (LODR)-Award_of_Order_Receipt_of_Order 7h - SEBI issued settlement order on April 16, 2026; ₹14.36 lakh paid for venture fund tenure extension matter.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/1091df79-edb7-4477-84a2-41715abb90cf.pdf)"
,5 May - Auditor issued unmodified opinion on FY2026 financial results.,[Declaration Of Unmodified Opinion 5 May - Auditor issued unmodified opinion on FY2026 financial results.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/ecc32b4a-8f78-426a-8f22-fedcf431f4fb.pdf)
,"4 Mar - Postal ballot: reappoint Antony Jacob and Sankaran Naren; amend ESOS; approve 650,000-unit ESU; voting Mar 6–Apr 4, 2026.","[Shareholder Meeting / Postal Ballot-Notice of Postal Ballot 4 Mar - Postal ballot: reappoint Antony Jacob and Sankaran Naren; amend ESOS; approve 650,000-unit ESU; voting Mar 6–Apr 4, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/a5c3ac6b-bc00-4fb7-8779-4746c3f5b07f.pdf)"
