Item,Indicator,Value,Signal
,SMA (10),1507.91,Sell
,EMA (10),1504.26,Sell
,SMA (20),1558.5,Sell
,EMA (20),1544.27,Sell
,SMA (50),1633.44,Sell
,EMA (50),1617.36,Sell
,SMA (100),1712.14,Sell
,EMA (100),1686.68,Sell
,SMA (200),1799,Sell
,EMA (200),1754.95,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),18.97,Buy
,"MACD (12,26,9)",-49.1,Sell
,"Stochastic (14,3,3)",6.67,Buy
,ADX (14),29.44,Buy
,Williams %R (14),-91.34,Buy
,ATR (14),30.59,Neutral
,ROC (12),-8.59,Sell
,Stoch RSI (14),0,Buy
,"UO (7,14,28)",37.61,Neutral
