Item,Date,Document
,"9h - ICICI Prudential Life launches 100-day Saksham Niveshak campaign from April 1 to July 9, 2026.","[Intimation Of Notice Sent To Shareholders As Per Directive Of Investor Education And Protection Fund Authority, Ministry Of Corporate Affairs For Initiation Of Second 100 Days' Campaign From April 1, 2026 To July 9, 2026. 9h - ICICI Prudential Life launches 100-day Saksham Niveshak campaign from April 1 to July 9, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/0d0f1a5c-d5da-415e-97c5-891991a83f0b.pdf)"
,"9h - FY2026 earnings conference call audio recording hosted on company website on April 14, 2026.","[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome 9h - FY2026 earnings conference call audio recording hosted on company website on April 14, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/77eb32a1-cc6a-4288-aff3-acc8f530d518.pdf)"
,"8h - Assessment order AY2024-25: tax ₹3,471,293,534; interest ₹439,545,379; total ₹3,910,838,913; appeal planned.","[Disclosure Under Regulation 30 And Regulation 51 Read With Schedule III Of SEBI (LODR) Regulations, 2015 (SEBI Listing Regulations) 8h - Assessment order AY2024-25: tax ₹3,471,293,534; interest ₹439,545,379; total ₹3,910,838,913; appeal planned.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/0247e77f-44c7-4e3b-9120-a6d3d9aed961.pdf)"
,8 May - Investor presentation for the month of April 2026.,[Announcement under Regulation 30 (LODR)-Investor Presentation 8 May - Investor presentation for the month of April 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/ddd61863-da93-4619-80ce-aed6b7cc3cf7.pdf)
,"5 May - Company has allotted 97,746 equity shares under the Employees Stock Option Scheme (2005) and the Employees Stock Unit Scheme (2023).","[Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS 5 May - Company has allotted 97,746 equity shares under the Employees Stock Option Scheme (2005) and the Employees Stock Unit Scheme (2023).](https://www.bseindia.com/xml-data/corpfiling/AttachLive/0cd3a7b9-b4e8-4e25-a9f2-aeb98b66cb17.pdf)"
,"4h - Clarified April 24, 2026 rumor on Bharti insurance sale to Prudential; company unaware of developments.","[Rumour verification - Regulation 30(11) 4h - Clarified April 24, 2026 rumor on Bharti insurance sale to Prudential; company unaware of developments.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/e9543f06-bc24-4a84-ac86-153adfa01178.pdf)"
,"31 Mar - Publicised SEBI special window for transfer/dematerialisation of physical securities until Feb 04, 2027; LinkedIn post.","[Copy Of The Social Media Post Intimating The Opening Of A Special Window Pursuant To SEBI Circular HO/38/13/11(2)2026-MIRSD-POD/I/3750/2026 Dated January 30, 2026 Is Enclosed. 31 Mar - Publicised SEBI special window for transfer/dematerialisation of physical securities until Feb 04, 2027; LinkedIn post.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/eedad574-b4fd-4606-aeea-0a9f341eec88.pdf)"
,"31 Mar - Appeal partially allowed; FY2019 tax demand ₹2,407,776,714 (GST ₹979,078,983; interest ₹1,330,673,768; penalty ₹98,023,963).","[Update On Disclosure Under Regulation 30 And Regulation 51 Read With Schedule III Of SEBI (LODR) Regulations, 2015 (SEBI Listing Regulations) 31 Mar - Appeal partially allowed; FY2019 tax demand ₹2,407,776,714 (GST ₹979,078,983; interest ₹1,330,673,768; penalty ₹98,023,963).](https://www.bseindia.com/xml-data/corpfiling/AttachHis/35818f7f-1672-430a-999c-53fc871a638c.pdf)"
,"30 Apr - Schedule of meeting with analyst/investor to be held on May 6, 2026.","[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation 30 Apr - Schedule of meeting with analyst/investor to be held on May 6, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/8f0034b7-e3a2-44fe-874b-9bf0158751b4.pdf)"
,"30 Apr - Schedule of meeting with analyst/investor to be held on May 6, 2026.","[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation 30 Apr - Schedule of meeting with analyst/investor to be held on May 6, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/8f0034b7-e3a2-44fe-874b-9bf0158751b4.pdf)"
,Date,Document
,---,---
,2026-09-10,[Disclosure Under Regulation 30 And 51 Read With Schedule III Of SEBI Listing Regulations.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a3b40c8d-64ce-4b4c-ae7d-947bde3cdaed.pdf)
,2026-09-08,[Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4e1913a0-3fa9-4620-9932-b40b683c9f82.pdf)
,2026-09-07,[Monthly Business Performance Update For The Month Of August 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3f62cc8a-9658-44eb-b162-1dd7d4697e94.pdf)
,2026-09-05,[Disclosures under Reg. 29(2) of SEBI (SAST) Regulations 2011](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=43CE80BE_1867_4415_AB3F_4603C9454A40_113050.pdf)
