Item,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,23384,17388,26430,22482,25396,25158,4536,15687,25401,11936,22834,3185
Expenses,23663,17682,26584,22760,25362,24839,4295,15272,25188,11955,22093,3940
Operating Profit,-280,-293,-155,-278,34,319,241,415,213,-19,741,-754
OPM %,-1.2,-1.7,-0.6,-1.2,0.1,1.3,5,2.6,0.8,-0.2,3.2,-24
Other Income,496,570,420,549,237,-17,169,183,177,408,-243,1036
Interest,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,216,276,265,270,271,302,410,598,390,389,498,281
Tax %,5,12,14,36,17,17,21,36,23,24,22,-122
Net Profit,206,244,227,174,224,251,325,385,301,296,387,624
EPS in Rs,1.43,1.69,1.58,1.21,1.56,1.74,2.25,2.67,2.08,2.04,2.67,4.3
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,37816,38832,41463,21025,83182,63564,50478,89683,70778,63357,,
Expenses,36010,37062,40922,21344,83572,65728,52235,90580,69321,62050,,
Operating Profit,1806,1771,541,-319,-390,-2163,-1757,-897,1457,1307,,
OPM %,4.8,4.6,1.3,-1.5,-0.5,-3.4,-3.5,-1,2.1,2.1,,
Other Income,130,132,813,1578,1669,3191,2925,2039,258,397,,
Interest,15,20,23,0,0,0,0,0,0,0,,
Depreciation,58,44,57,61,60,67,84,113,134,145,,
Profit before tax,1863,1839,1274,1198,1219,961,1085,1028,1582,1559,,
Tax %,10,12,11,11,22,21,25,17,25,-3,,
Net Profit,1682,1619,1139,1067,956,759,813,851,1186,1608,,
EPS in Rs,11.72,11.28,7.93,7.43,6.66,5.28,5.65,5.9,8.2,11.09,,
Dividend Payout %,63,59,40,11,30,10,11,10,10,15,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,1435,1436,1436,1436,1436,1437,1439,1441,1445,1449,,
Reserves,4971,5138,5435,5777,7673,7721,8651,9564,10488,12182,,
Borrowings,0,0,0,0,1200,1200,1200,1200,2600,2595,,
Other Liabilities,118335,135245,156215,148818,206911,234079,244562,286796,299705,303509,,
Total Liabilities,124741,141819,163086,156031,217220,244437,255851,299001,314239,319735,,
Fixed Assets,207,404,463,932,911,433,479,1168,1315,1378,,
CWIP,7,18,13,20,22,54,117,49,36,43,,
Investments,121581,138537,159003,150776,211727,238101,248216,289230,303475,307369,,
Other Assets,2946,2859,3607,4303,4560,5848,7039,8553,9412,10944,,
Total Assets,124741,141819,163086,156031,217220,244437,255851,299001,314239,319735,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,4130,5690,11377,8596,7314,1831,89,-7315,-9408,-5355,,
Cash from Investing Activity,-696,-5389,-7559,-10797,-5084,-816,-1145,7420,6869,7571,,
Cash from Financing Activity,-994,-1188,-843,-405,1205,-319,-112,-88,1422,-171,,
Net Cash Flow,2439,-887,2975,-2606,3434,696,-1168,17,-1116,2045,,
Free Cash Flow,4078,5622,11270,-112909,7279,1736,-105,-7550,-9663,-5473,,
CFO/OP,229,321,2103,-2710,-1930,-95,-21,790,-623,-365,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,0,0,0,0,0,0,0,0,0,0,,
Cash Conversion Cycle,0,0,0,0,0,0,0,0,0,0,,
Working Capital Days,-2,-9,-9,-5,-2,-6,-5,2,3,-1,,
ROCE %,29,29,16,17,14,9,10,3,12,10,,
