Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,7356,7879,8219,8789,8957,9343,9413,9642,9937,10417,10553,11051
Expenses,4398,4895,5169,5426,6285,6261,6441,6580,6576,6982,7118,6873
Financing Profit,-448,-609,-700,-731,-1497,-1359,-1534,-1647,-1463,-1490,-1441,-901
Financing Margin %,-6,-8,-9,-8,-17,-15,-16,-17,-15,-14,-14,-8
Other Income,1430,1517,1642,1619,1727,1780,1895,2227,1891,2125,1630,2309
Interest,3406,3593,3750,4094,4169,4441,4506,4709,4824,4925,4876,5079
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,982,908,942,888,230,421,361,580,428,635,189,1409
Tax %,23,21,23,23,13,19,16,20,18,21,-68,24
Net Profit,751,716,724,681,201,339,304,463,352,503,319,1075
EPS in Rs,1.12,1.01,1.02,0.96,0.27,0.46,0.42,0.63,0.48,0.58,0.37,1.25
Gross NPA %,2.11,2.04,1.88,1.9,1.92,1.94,1.87,1.97,1.86,1.69,1.61,1.51
Net NPA %,0.68,0.68,0.6,0.59,0.48,0.52,0.53,0.55,0.52,0.53,0.48,0.44
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,8930,11948,16308,15968,17173,22728,30322,36501,40549,41958,,
Expenses,1725,4534,9871,8786,12380,13410,17979,23593,26412,27549,,
Financing Profit,73,-1335,-3795,-1406,-2674,-775,-1528,-4301,-5197,-5295,,
Financing Margin %,1,-11,-23,-9,-16,-3,-5,-12,-13,-13,,
Other Income,1118,852,1722,2211,3222,4467,6002,7022,7873,7956,,
Interest,7132,8749,10232,8588,7467,10092,13872,17210,19334,19703,,
Depreciation,163,2813,305,329,373,425,618,820,844,0,,
Profit before tax,1027,-3295,-2379,476,175,3267,3855,1900,1833,2661,,
Tax %,16,-41,20,5,17,25,23,20,11,—,,
Net Profit,859,-1944,-2864,452,145,2437,2957,1525,1636,2249,,
EPS in Rs,2.52,-4.07,-5.95,0.8,0.23,3.68,4.18,2.08,1.9,2.68,,
Dividend Payout %,30,0,0,0,0,0,0,12,13,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,3399,3404,4782,4810,5676,6218,6618,7070,7322,8602,,
Reserves,11279,11852,13378,10533,12132,14786,19103,25091,30756,38750,,
Borrowing,50262,57287,69983,57397,45786,52963,57212,50936,38975,36621,,
Deposits,40208,48198,70479,65108,88688,105634,144637,200576,252065,294475,,
Other Liabilities,7011,5778,8563,11353,10861,10581,12371,12442,14701,21333,,
Total Liabilities,112160,126520,167185,149200,163144,190182,239942,296115,343819,399780,,
Fixed Assets,781,781,917,965,1201,1282,1876,2525,2596,2444,,
CWIP,5,3,34,73,65,79,214,95,67,113,,
Investments,50472,61202,58475,45405,45412,46145,61124,74710,80716,85966,,
Other Assets,60901,64535,107759,102758,116466,142676,176728,218785,260440,311257,,
Total Assets,112160,126520,167185,149200,163144,190182,239942,296115,343819,399780,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,14247,-5941,17293,10927,14061,2604,3600,11328,14395,6915,,
Cash from Investing Activity,-5074,-1008,-412,-3764,-2826,-2884,-11969,-9792,-3095,-14219,,
Cash from Financing Activity,-6974,6744,-12207,-12539,-9598,10211,6509,-2954,-8682,4969,,
Net Cash Flow,2198,-205,4675,-5376,1637,9930,-1860,-1418,2617,-2335,,
Free Cash Flow,13993,-6104,17037,10534,13519,2131,2447,10189,13542,6178,,
CFO/OP,204,-78,232,172,188,51,42,98,113,51,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,7,6,-12,-17,3,1,10,10,4,4,,
