Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,109,115,121,124,139,131,141,140,152,144,172,156
Expenses,16,15,16,24,19,18,19,26,20,24,25,26
Operating Profit,92,100,105,100,120,113,122,114,132,120,148,130
OPM %,85,87,86,81,86,86,86,81,87,84,86,83
Other Income,24,26,28,31,29,29,31,43,34,37,22,45
Interest,1,1,1,1,1,1,1,1,1,1,1,1
Depreciation,5,5,5,5,5,5,5,5,6,6,6,6
Profit before tax,111,120,127,125,143,135,147,150,160,151,163,168
Tax %,25,25,25,25,26,24,24,25,24,24,24,25
Net Profit,83,89,95,93,106,103,112,113,122,115,124,127
EPS in Rs,0.93,1,1.07,1.05,1.19,1.16,1.26,1.27,1.36,1.29,1.39,1.42
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,230,254,257,317,426,401,449,535,608,624,,
Expenses,46,51,53,58,60,64,71,80,95,94,,
Operating Profit,185,203,204,259,366,337,379,455,514,530,,
OPM %,80,80,80,82,86,84,84,85,84,85,,
Other Income,26,40,40,40,52,73,102,119,137,139,,
Interest,0,1,2,2,2,2,3,3,2,2,,
Depreciation,10,10,15,16,16,19,20,21,23,24,,
Profit before tax,200,232,228,282,400,389,457,550,625,643,,
Tax %,34,29,22,24,24,25,25,25,24,—,,
Net Profit,132,165,178,213,303,293,341,415,474,487,,
EPS in Rs,1.45,1.81,1.98,2.38,3.37,3.28,3.83,4.65,5.31,5.46,,
Dividend Payout %,50,0,42,56,74,30,65,64,66,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,29,30,30,30,30,90,89,89,89,89,,
Reserves,248,254,340,360,502,612,695,859,1009,1218,,
Borrowings,2,0,0,14,12,10,14,10,6,11,,
Other Liabilities,276,291,335,264,384,983,640,791,1053,1059,,
Total Liabilities,554,574,706,668,927,1695,1439,1749,2157,2377,,
Fixed Assets,8,119,111,119,115,110,110,101,87,97,,
CWIP,1,1,1,1,6,5,4,3,4,5,,
Investments,383,268,475,514,710,1247,1204,1310,1597,1936,,
Other Assets,162,186,118,35,96,333,120,336,469,339,,
Total Assets,554,574,706,668,927,1695,1439,1749,2157,2377,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,206,131,138,128,304,788,-22,300,430,425,,
Cash from Investing Activity,-21,-33,-62,-5,-194,-473,70,-26,-199,-223,,
Cash from Financing Activity,-109,-126,-78,-161,-77,-136,-215,-183,-272,-272,,
Net Cash Flow,76,-29,-2,-38,33,179,-167,91,-41,-70,,
Free Cash Flow,205,11,135,123,288,777,-31,287,422,410,,
CFO/OP,186,99,98,87,142,244,21,107,123,113,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,0,0,66,0,4,75,6,1,1,1,,
Cash Conversion Cycle,0,0,66,0,4,75,6,1,1,1,,
Working Capital Days,-494,-322,-371,-326,-388,-733,-540,-501,-487,-475,,
ROCE %,64,66,66,56,59,62,49,52,54,52,,
