Item,Indicator,Value,Signal
,SMA (10),152.29,Sell
,EMA (10),152.32,Sell
,SMA (20),150.71,Buy
,EMA (20),151.8,Buy
,SMA (50),151.77,Buy
,EMA (50),153.2,Sell
,SMA (100),157.48,Sell
,EMA (100),157.25,Sell
,SMA (200),166.13,Sell
,EMA (200),166.05,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),50.15,Neutral
,"MACD (12,26,9)",0.25,Buy
,"Stochastic (14,3,3)",49.45,Neutral
,ADX (14),14.32,Neutral
,Williams %R (14),-56.63,Neutral
,ATR (14),3.3,Neutral
,ROC (12),2.19,Buy
,Stoch RSI (14),47.51,Neutral
,"UO (7,14,28)",54.61,Neutral
