Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,2478,2649,2854,2621,2556,2443,2591,2953,3305,3427,3692,3919
Expenses,877,948,1255,1109,1105,1307,1065,1267,1323,1280,1194,1211
Financing Profit,670,715,536,470,488,140,357,397,600,710,889,989
Financing Margin %,27,27,19,18,19,6,14,13,18,21,24,25
Other Income,57,46,68,12,-582,6,3,6,4,5,7,3
Interest,932,985,1063,1042,963,996,1169,1289,1382,1437,1610,1719
Depreciation,43,45,50,46,46,46,51,47,47,53,64,63
Profit before tax,684,716,554,436,-140,101,309,356,557,663,833,929
Tax %,23,24,22,22,-33,19,19,23,25,24,25,23
Net Profit,526,545,431,338,-93,82,251,274,418,501,623,713
EPS in Rs,11.2,11.58,8.81,6.79,-3.72,0.96,4.89,5.49,8.86,10.92,13.8,15.87
Gross NPA %,1.84,1.71,2.32,2.25,2.35,2.42,2.23,2.34,2.14,1.6,1.46,1.55
Net NPA %,1.02,0.87,1.2,1.11,1.06,1.01,1.05,1.13,1.02,0.75,0.73,0.82
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,6405,4978,4847,5968,6991,8444,10472,10233,13366,14344,,
Expenses,2221,1435,1682,2239,2355,2936,3842,4559,5018,5008,,
Financing Profit,1454,950,752,1090,1625,2263,2734,1478,2612,3188,,
Financing Margin %,23,19,16,18,23,27,26,14,20,22,,
Other Income,61,212,79,20,32,2,18,-583,7,19,,
Interest,2730,2593,2413,2638,3011,3245,3896,4196,5736,6148,,
Depreciation,67,32,106,106,122,153,181,189,211,226,,
Profit before tax,1448,1130,725,1005,1536,2113,2572,707,2409,2981,,
Tax %,30,30,31,24,23,24,23,18,25,—,,
Net Profit,1021,796,503,761,1188,1608,1974,578,1817,2256,,
EPS in Rs,22.42,22.4,11.94,18.06,28.16,35.49,41.6,8.92,39.05,49.45,,
Dividend Payout %,20,20,17,15,11,10,9,0,10,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,64,64,64,76,76,76,76,76,85,85,,
Reserves,4318,4679,4290,4684,5312,6388,8916,10561,12327,13835,,
Borrowing,24330,34326,26517,27996,32583,36086,40017,47136,51068,69176,,
Other Liabilities,5049,5426,2368,1617,2696,3360,3993,4630,4164,5891,,
Total Liabilities,33761,44495,33239,34373,40667,45910,53002,62403,67644,88987,,
Fixed Assets,656,871,369,607,675,775,862,905,1487,1514,,
CWIP,71,110,7,2,7,6,28,52,23,6,,
Investments,4153,2150,212,770,32,1192,3511,4059,4438,6092,,
Other Assets,28881,41365,32651,32994,39954,43937,48602,57387,61696,81375,,
Total Assets,33761,44495,33239,34373,40667,45910,53002,62403,67644,88987,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,-4329,-10483,422,1101,-3587,1784,-5225,-8716,-4781,-13976,,
Cash from Investing Activity,-2602,-374,562,-919,236,-996,-2716,468,-1149,-2606,,
Cash from Financing Activity,9094,8468,20,109,4428,2781,5361,7088,5526,17843,,
Net Cash Flow,2162,-2389,1004,290,1077,3569,-2580,-1160,-403,1262,,
Free Cash Flow,-4343,-10654,355,1052,-3621,1684,-5484,-8804,-4839,-14056,,
CFO/OP,-165,-237,20,42,-88,45,-90,-121,-77,-162,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,18,17,16,11,15,20,19,18,5,13,,
