Item,Indicator,Value,Signal
,SMA (10),630.92,Sell
,EMA (10),625.87,Sell
,SMA (20),641.02,Sell
,EMA (20),629.39,Sell
,SMA (50),604.79,Sell
,EMA (50),604.54,Sell
,SMA (100),543.9,Buy
,EMA (100),570.15,Buy
,SMA (200),538.12,Buy
,EMA (200),534.59,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),41.97,Neutral
,"MACD (12,26,9)",1.82,Sell
,"Stochastic (14,3,3)",5.17,Buy
,ADX (14),27.99,Buy
,Williams %R (14),-93.5,Buy
,ATR (14),26.03,High Volatility
,ROC (12),-8.17,Sell
,Stoch RSI (14),0,Buy
,"UO (7,14,28)",36.97,Neutral
