Item,Indicator,Value,Signal
,SMA (10),1759.59,Sell
,EMA (10),1766.98,Sell
,SMA (20),1775.61,Sell
,EMA (20),1773.02,Sell
,SMA (50),1810.64,Sell
,EMA (50),1771.58,Sell
,SMA (100),1732.18,Buy
,EMA (100),1730.24,Buy
,SMA (200),1646.81,Buy
,EMA (200),1677.28,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),43.5,Neutral
,"MACD (12,26,9)",-8.4,Buy
,"Stochastic (14,3,3)",43.85,Neutral
,ADX (14),12.61,Neutral
,Williams %R (14),-79.18,Neutral
,ATR (14),53.37,High Volatility
,ROC (12),-0.05,Sell
,Stoch RSI (14),17.59,Buy
,"UO (7,14,28)",39.04,Neutral
