Item,Date,Document
,2026-09-10,[Announcement under Regulation 30 (LODR)-Restructuring](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7a6f269e-19be-4f2a-8c47-b182d71452d8.pdf)
,2026-09-08,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=22a31372-b4ee-45bb-b62b-9c93ce287347.pdf)
,2026-08-31,[Announcement Under Regulation 30 (LODR) - Update On Material Litigation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0b4645eb-e965-4abc-840e-01e40c40fd78.pdf)
,2026-08-19,[Announcement Under Regulation 30 (LODR) - Update On Material Litigation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c3638ac1-baca-46ad-9c66-5e8a4f559294.pdf)
,2026-08-19,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=594b1d54-35df-4a4e-a69e-6602d8577710.pdf)
,2026-08-17,[Shareholder Meeting / Postal Ballot-Scrutinizers Report](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2955d594-c119-4c52-b1ff-8bf9b9c88097.pdf)
,2026-08-17,[Announcement under Regulation 30 (LODR)-Change in Directorate](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8b674ff7-ed48-43a3-ad83-be6bf65ec201.pdf)
,2026-08-17,[Transcript Of The 28Th Annual General Meeting Held On August 13 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=71d0446b-f3cb-4446-bf05-7be52018a0b4.pdf)
,2026-08-14,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=885bf6ef-8f96-4628-9bfc-bc358f55147b.pdf)
,2026-08-13,[Shareholder Meeting / Postal Ballot-Outcome of AGM](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=165b5e06-08f6-4239-8ecb-225972b0441b.pdf)
,Date,Document
,---,---
,2026-08-06,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=83279765-f7aa-46b3-83e1-71b559d80ee3.pdf)
,2026-05-06,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=73ad56ca-dd91-464b-ae69-0ae768c03572.pdf)
