Item,Indicator,Value,Signal
,SMA (10),594.95,Sell
,EMA (10),586.16,Sell
,SMA (20),581.26,Sell
,EMA (20),579.53,Sell
,SMA (50),545.88,Buy
,EMA (50),557.16,Buy
,SMA (100),531.47,Buy
,EMA (100),537.87,Buy
,SMA (200),511.61,Buy
,EMA (200),529.41,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),53.06,Neutral
,"MACD (12,26,9)",11.07,Sell
,"Stochastic (14,3,3)",39.89,Neutral
,ADX (14),30.69,Buy
,Williams %R (14),-64.27,Neutral
,ATR (14),16.31,Neutral
,ROC (12),1.52,Buy
,Stoch RSI (14),2.29,Buy
,"UO (7,14,28)",45.1,Neutral
