Item,Date,Document
,2026-08-27,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=39d0ef09-d41d-461d-8470-8e9ec7a1f05e.pdf)
,2026-08-24,[Announcement under Regulation 30 (LODR)-Scheme of Arrangement](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f05a0c99-25ab-4645-b530-15db4fdc65bb.pdf)
,2026-08-24,[Announcement under Regulation 30 (LODR)-Press Release / Media Release](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e438ae07-fddc-4979-925e-f1adc252ed8a.pdf)
,2026-08-12,[Intimation Under Regulation 30 Of The SEBI ( Listing And Disclosure Requirements) Regulations 2015 (Listing Regulations )](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b4863541-8b2a-41af-ac3d-20090f66401a.pdf)
,2026-08-05,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d79440ab-cc65-4b48-940d-6bb459c3ca53.pdf)
,2026-07-29,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=050d3267-98c9-4553-bf0b-0cb411b11e6c.pdf)
,2026-07-28,[Disclosure Under Regulation 30 Of The SEBI (Listing Obligations And Disclosure Requirements) Regulations 2015- ESG Rating](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6372f263-f120-4baa-9733-c080b9545ee2.pdf)
,2026-07-22,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e115a287-da2a-4b83-9621-a65a1dd8c237.pdf)
,2026-07-21,[Board Meeting Outcome for Board Meeting Outcome For Financial Results For The Quarter Ended June 302026.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e1ddb074-edbb-42f3-9bfb-a1d3432b0f87.pdf)
,2026-07-21,[Announcement under Regulation 30 (LODR)-Press Release / Media Release](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=048647a4-9730-4220-af64-78760c77f594.pdf)
,Date,Document
,---,---
,2026-08-24,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4afc8793-d744-41db-bb49-8b93c05a5056.pdf)
,2026-08-24,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e6560230-d461-4a3d-9b27-47c59c368a6d.pdf)
