Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1264,1113,1236,1027,1022,940,1198,1025,1117,1114,1229,1019
Expenses,1260,1067,1199,1051,1185,1130,1200,942,1036,1035,1076,864
Operating Profit,4,46,37,-25,-163,-190,-2,83,81,79,153,156
OPM %,0.3,4.2,3,-2.4,-16,-20,-0.2,8,7,7,12,15
Other Income,8,56,34,256,-64,396,110,-115,23,15,15,-22
Interest,60,59,64,82,73,73,38,27,25,24,23,26
Depreciation,55,57,57,56,55,55,75,74,74,75,76,72
Profit before tax,-103,-14,-49,93,-355,77,-5,-132,4,-5,69,36
Tax %,-17,-53,2,23,-5,-51,-486,-1,-101,-41,13,25
Net Profit,-80,1,-61,58,-339,119,18,-133,9,-3,60,27
EPS in Rs,-2.58,0.02,-1.95,1.89,-10.94,3.95,0.47,-4.29,0.28,-0.09,1.92,0.87
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,5267,5770,5186,4511,4858,5608,4998,4141,4485,4479,,
Expenses,4548,5131,4588,3715,4373,5749,4912,4491,4090,4010,,
Operating Profit,720,639,599,796,486,-141,86,-350,395,469,,
OPM %,14,11,12,18,10,-2.5,1.7,-8,9,10,,
Other Income,14,26,24,32,23,224,99,654,-62,31,,
Interest,365,350,343,271,198,242,240,266,99,99,,
Depreciation,279,265,256,247,226,219,220,239,299,297,,
Profit before tax,90,50,24,311,85,-378,-275,-202,-65,104,,
Tax %,21,49,-126,33,23,-55,-17,-29,3,—,,
Net Profit,69,26,51,209,87,-125,-227,-144,-67,92,,
EPS in Rs,2.11,0.68,1.62,6.67,2.53,-4.09,-7.34,-4.64,-2.17,2.98,,
Dividend Payout %,38,118,37,15,40,0,0,0,0,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,308,308,310,310,310,310,310,310,310,310,,
Reserves,4867,4961,4936,5188,5388,5637,5466,5265,9884,9814,,
Borrowings,3100,3197,3356,3593,3052,3091,2945,2633,1165,1305,,
Other Liabilities,2674,2479,2696,2579,2340,3005,2746,2493,2518,1974,,
Total Liabilities,10950,10946,11297,11670,11090,12043,11467,10701,13877,13403,,
Fixed Assets,7260,7146,7072,7206,7065,7101,6803,6874,11638,11187,,
CWIP,134,176,196,235,300,386,313,190,177,344,,
Investments,358,358,371,382,381,408,334,319,120,83,,
Other Assets,3198,3265,3659,3847,3344,4147,4016,3318,1942,1788,,
Total Assets,10950,10946,11297,11670,11090,12043,11467,10701,13877,13403,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,765,556,377,387,1046,439,-19,344,-256,-27,,
Cash from Investing Activity,-158,-306,-202,-282,-189,-250,435,248,2014,-103,,
Cash from Financing Activity,-605,-235,-180,-110,-860,-183,-397,-572,-1738,40,,
Net Cash Flow,2,16,-5,-6,-3,6,19,19,19,-89,,
Free Cash Flow,685,361,161,140,897,288,142,255,31,-115,,
CFO/OP,94,84,61,70,138,100,8,422,43,-5,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,37,45,47,52,46,70,54,51,62,20,,
Inventory Days,306,258,287,312,270,368,258,231,224,269,,
Days Payable,522,441,458,490,488,565,438,456,395,318,,
Cash Conversion Cycle,-178,-138,-124,-127,-173,-127,-126,-174,-109,-28,,
Working Capital Days,-37,-3,-14,-38,-56,-18,35,-10,-32,-15,,
ROCE %,8,5,5,4,7,3,-4,-1,-5,1,,
