Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,7132,7199,7193,7383,7465,7547,7727,8058,8188,8146,8101,8431
Expenses,3711,3615,3122,2879,2602,589,3332,3668,3616,3678,3677,3953
Operating Profit,3422,3584,4072,4504,4864,6958,4395,4390,4572,4468,4424,4478
OPM %,48,50,57,61,65,92,57,54,56,55,55,53
Other Income,97,99,108,56,114,84,92,85,83,154,155,121
Interest,246,11,127,408,418,255,431,437,376,404,376,358
Depreciation,1526,1596,1564,1560,1580,1568,1693,1704,1801,1798,1838,1894
Profit before tax,1747,2076,2489,2592,2980,5219,2363,2334,2478,2420,2365,2347
Tax %,26,26,26,26,25,23,25,26,26,27,24,26
Net Profit,1295,1540,1853,1926,2224,4003,1779,1737,1839,1776,1793,1746
EPS in Rs,4.8,5.72,6.88,7.15,8.43,15.17,6.74,6.58,6.97,6.73,6.8,6.62
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,6621,6826,6743,13954,27717,28382,28601,30123,32493,32867,,
Expenses,3464,3714,3185,6775,12816,18713,14044,9473,14680,14925,,
Operating Profit,3157,3112,3558,7179,14901,9669,14557,20650,17813,17942,,
OPM %,48,46,53,51,54,34,51,69,55,55,,
Other Income,1599,1559,1846,1262,458,85,1490,764,818,513,,
Interest,46,53,335,836,1603,1670,1864,1858,1893,1513,,
Depreciation,1180,1066,1282,2848,5325,5324,6060,6402,7141,7330,,
Profit before tax,3529,3553,3788,4757,8431,2759,8122,13154,9598,9611,,
Tax %,29,30,13,21,24,26,26,24,26,—,,
Net Profit,2494,2494,3299,3779,6373,2040,6036,9932,7145,7154,,
EPS in Rs,13.48,13.48,17.83,14.02,23.65,7.57,22.4,37.65,27.08,27.12,,
Dividend Payout %,104,111,59,143,47,0,0,0,52,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,1850,1850,1850,1850,2695,2695,2695,2695,2638,2638,,
Reserves,13650,15115,12682,11693,13182,19456,18415,24344,29860,37008,,
Borrowings,278,0,6,4627,21576,19726,19185,20531,21156,21127,,
Other Liabilities,5163,2661,2577,1584,7491,6091,6278,8298,9514,10543,,
Total Liabilities,20941,19625,17115,19754,44944,47968,46572,55868,63168,71315,,
Fixed Assets,5794,5595,5332,6714,31800,31826,32384,39300,44380,49514,,
CWIP,58,110,118,54,274,179,355,422,567,630,,
Investments,11172,12327,9906,11170,2271,1652,276,3,1486,4316,,
Other Assets,3916,1593,1759,1815,10598,14311,13559,16143,16735,16855,,
Total Assets,20941,19625,17115,19754,44944,47968,46572,55868,63168,71315,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,2866,3469,3159,2315,7481,9121,7905,11582,19645,15684,,
Cash from Investing Activity,-237,-1855,1600,-1012,1798,-2174,-1730,-7546,-10910,-10198,,
Cash from Financing Activity,-2671,-3555,-4795,-1185,-9377,-5982,-7133,-3995,-8648,-5588,,
Net Cash Flow,-42,-1940,-36,118,-98,966,-958,41,87,-102,,
Free Cash Flow,1960,2521,2329,1586,5529,6252,4737,3136,13388,7786,,
CFO/OP,130,136,128,80,119,74,105,92,104,99,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,18,15,29,20,100,93,63,82,58,55,,
Cash Conversion Cycle,18,15,29,20,100,93,63,82,58,55,,
Working Capital Days,-207,-41,-24,-149,-173,11,3,3,-2,7,,
ROCE %,18,23,21,23,19,25,11,22,29,19,,
