Item,Indicator,Value,Signal
,SMA (10),1096.88,Sell
,EMA (10),1081.49,Sell
,SMA (20),1112.17,Sell
,EMA (20),1102.98,Sell
,SMA (50),1113.57,Sell
,EMA (50),1119.15,Sell
,SMA (100),1128.27,Sell
,EMA (100),1159.33,Sell
,SMA (200),1301.07,Sell
,EMA (200),1255.44,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),32.62,Neutral
,"MACD (12,26,9)",-20.42,Sell
,"Stochastic (14,3,3)",7.64,Buy
,ADX (14),16.93,Neutral
,Williams %R (14),-91.35,Buy
,ATR (14),28.26,Neutral
,ROC (12),-7.35,Sell
,Stoch RSI (14),3.45,Buy
,"UO (7,14,28)",31.73,Neutral
