Item,Date,Document
,2026-09-07,[Announcement under Regulation 30 (LODR)-Press Release / Media Release](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=60692808-6bd6-4efe-93b6-5ea2d5b26f52.pdf)
,2026-09-04,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5a326cb5-0b78-457d-b5ec-edd7d0ab0443.pdf)
,2026-09-03,[Notice Of 17Th Annual General Meeting (AGM) Of The Company For The Financial Year 2025-26](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=643d04f1-245e-44b3-85dc-6611830ed5cf.pdf)
,2026-09-03,[Reg. 34 (1) Annual Report.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4c391ed9-a85c-47f3-af38-b497c92e3e8e.pdf)
,2026-09-03,[Business Responsibility and Sustainability Reporting (BRSR)](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fdf3db2b-0e39-4737-ba75-32467a0b6060.pdf)
,2026-09-03,[Announcement under Regulation 30 (LODR)-Press Release / Media Release](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=27118344-04f5-49b9-9e06-eb037a5fd301.pdf)
,2026-09-02,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e2053766-94b6-4e0d-b2a2-21df3c21a8ed.pdf)
,2026-08-31,[Disclosure Under Regulation 7(2)(B) Of The SEBI (Prohibition Of Insider Trading) Regulations 2015](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=00231f3b-c285-4edb-be73-d70802acebf4.pdf)
,2026-08-27,[Disclosures under Reg. 10(6) of SEBI (SAST) Regulations 2011](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=D796DC94_F3DD_49CA_ABBC_45ABFC8C2A13_130757.pdf)
,2026-08-26,[Disclosures under Reg. 29(2) of SEBI (SAST) Regulations 2011](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5B221121_831A_42EB_8ACF_6E9580E590A4_173355.pdf)
,Date,Document
,---,---
,2026-08-12,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b6cf15ae-1b2e-45ee-8c88-aa635daabee2.pdf)
,2026-06-02,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=848794f9-ab25-4f1b-a5d9-6942bd67b0ff.pdf)
,2026-02-19,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=86e8969e-f7a8-4e84-93bc-7fe21c4eba9c.pdf)
,2025-11-20,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4bbce864-7e06-41a8-86d0-000fe5504407.pdf)
,2025-09-08,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=57f70e92-334e-4b9f-9c4d-c279fe985831.pdf)
,2025-02-06,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f109d78c-28df-4776-a2e4-c431980e8e1d.pdf)
,2024-11-01,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=170db708-0ce2-4049-b8c3-ead91ba5c8c2.pdf)
,2024-08-14,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=640034b3-36fd-4334-ade9-6fe06143c3ab.pdf)
,2024-05-09,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4733d318-f4a1-425a-a684-dbd688e9d141.pdf)
,2024-02-16,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9de47e3b-3ace-407b-ab90-2d55c226c190.pdf)
,Date,Document
,---,---
,2026-08-07,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5cd71581-3395-46c2-a6ad-e7fbb8b7e1ab.pdf)
,2026-05-29,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5d0bf102-ef86-4336-a6fd-e2c514fd2d9f.pdf)
,2026-02-13,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=94f984df-02fb-4e0e-801c-5d4a7529a730.pdf)
,2025-11-14,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=565c2bc5-38f1-40b7-bed4-ae54c9c21b34.pdf)
,2025-08-14,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=36a4ff53-aa57-45bc-b0ae-c4cc1d09fa8d.pdf)
,2025-05-30,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=adc238be-d79e-436f-aa84-f1163195d351.pdf)
,2025-01-31,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0e78d9d3-3496-4e6f-9c59-944aaddc3aef.pdf)
,2024-12-02,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e65b7718-412b-4be4-8829-7cc23ec7b6b9.pdf)
,2024-10-25,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c17ce1da-2ebf-4aa1-913a-da6f82b30cf7.pdf)
,2024-08-09,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=745ebc8f-1ea1-4a19-8260-c7bd335a759b.pdf)
,Date,Document
,---,---
,2026-08-07,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=aec0ac70-812e-4265-a495-789a2eb66fe6.pdf)
,2026-05-29,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e1a29491-a16a-4d9f-9fe9-833e7a78c811.pdf)
,2026-02-13,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=44527caa-9a93-4e5a-94cc-56382ae0f14c.pdf)
,2025-11-15,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=36765182-f7d8-4516-a807-0510c5080536.pdf)
,2025-09-01,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bc79d04a-aa0c-4a9b-94b7-1ab269b5553d.pdf)
,2024-10-25,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=abbb05e7-c53c-4a62-9a1d-86cfe9279b85.pdf)
,2024-08-09,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fedea95d-53bf-4f4c-ae6e-8e88c64ae995.pdf)
,2024-05-04,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9647d197-403f-4efa-9c49-9352533b9b17.pdf)
,2024-02-10,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0ecd10de-a996-4bf4-b6af-c06dbdf59e34.pdf)
,2023-08-01,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=454cd553-79d4-4013-a441-5d389c54fb2e.pdf)
,Date,Document
,---,---
,Sep 2025,[Concall - Sep 2025](https://www.bseindia.com/xml-data/corpfiling/AttachHis/57f70e92-334e-4b9f-9c4d-c279fe985831.pdf)
,Oct 2021,[Concall - Oct 2021](https://www.bseindia.com/xml-data/corpfiling/AttachHis/657a6253-4e22-4138-a5ac-21ebbba89e10.pdf)
