Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,2034,2053,2033,2093,2355,2245,2247,2309,2556,2392,2388,2788
Expenses,1673,1722,1711,1700,1913,1782,1818,1892,2012,1859,1905,2119
Operating Profit,361,331,322,393,441,463,429,416,545,533,484,670
OPM %,18,16,16,19,19,21,19,18,21,22,20,24
Other Income,-1,91,-118,21,26,20,-179,33,-30,38,48,25
Interest,44,33,29,24,23,17,22,19,20,18,20,12
Depreciation,90,100,98,99,100,98,100,100,103,108,107,111
Profit before tax,225,289,77,290,345,368,128,331,392,446,404,572
Tax %,39,23,96,31,29,25,49,29,28,18,24,26
Net Profit,136,221,1,199,246,276,64,233,281,364,307,424
EPS in Rs,5.72,7.09,2.35,7.58,9.05,9.78,2.67,9.19,11.14,12.86,11.79,15.84
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,3258,3746,4619,5395,5797,6204,7662,8897,9599,10126,,
Expenses,2803,3051,3715,3843,4472,5272,6338,7166,7609,7894,,
Operating Profit,455,695,904,1552,1325,932,1324,1731,1990,2232,,
OPM %,14,19,20,29,23,15,17,19,21,22,,
Other Income,41,56,65,59,54,123,17,-114,80,81,,
Interest,28,22,20,12,11,48,141,88,79,69,,
Depreciation,178,182,210,209,232,262,357,398,418,429,,
Profit before tax,291,546,739,1389,1136,745,843,1131,1573,1814,,
Tax %,18,19,18,17,20,34,37,30,24,—,,
Net Profit,239,442,604,1141,890,479,523,785,1184,1375,,
EPS in Rs,9.49,17.6,23.99,44.94,34.85,18.58,21.57,29.08,44.98,51.63,,
Dividend Payout %,5,9,10,9,11,22,19,14,0,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,25,25,25,25,25,25,25,25,25,25,,
Reserves,2430,2663,3097,3602,4676,5467,5817,6307,6923,8038,,
Borrowings,716,628,465,501,265,807,1481,1438,1363,809,,
Other Liabilities,788,799,961,1130,1099,1338,1300,3326,3432,3477,,
Total Liabilities,3960,4116,4549,5258,6066,7637,8623,11097,11744,12350,,
Fixed Assets,1983,1953,1940,2059,2072,2418,2751,4554,4267,4627,,
CWIP,95,73,66,133,235,306,140,343,622,773,,
Investments,136,87,120,310,505,989,626,862,980,844,,
Other Assets,1746,2003,2422,2756,3254,3924,5105,5339,5875,6106,,
Total Assets,3960,4116,4549,5258,6066,7637,8623,11097,11744,12350,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,282,341,501,570,1090,856,806,945,1321,1142,,
Cash from Investing Activity,-149,-135,-165,-509,-521,-851,-725,-1215,-870,-247,,
Cash from Financing Activity,-159,-130,-183,-137,-306,427,507,-553,-283,-754,,
Net Cash Flow,-26,75,153,-76,264,432,588,-823,169,142,,
Free Cash Flow,147,206,322,277,731,380,347,543,551,486,,
CFO/OP,74,88,88,80,86,80,110,94,97,78,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,58,67,66,71,55,57,58,80,77,77,,
Inventory Days,290,286,316,294,337,337,276,350,336,353,,
Days Payable,130,137,154,135,140,101,83,110,111,122,,
Cash Conversion Cycle,218,216,228,229,251,293,251,321,302,308,,
Working Capital Days,74,80,88,88,103,102,71,111,101,109,,
ROCE %,9,10,16,19,31,20,11,13,15,17,,
