Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,2987,2930,3787,2287,2448,2613,3412,1786,1977,2119,3189,1956
Expenses,2771,2671,3470,2037,2247,2481,3158,1586,1836,1961,2922,1764
Operating Profit,216,259,317,251,201,132,254,200,141,158,267,192
OPM %,7,9,8,11,8,5,7,11,7,7,8,10
Other Income,177,119,107,107,142,86,103,124,156,112,122,87
Interest,37,37,41,48,53,56,62,75,85,93,97,107
Depreciation,27,27,27,27,28,31,32,37,40,42,44,45
Profit before tax,328,314,356,282,262,132,263,212,172,135,248,127
Tax %,24,22,31,20,22,35,19,22,21,26,23,27
Net Profit,251,245,247,224,206,86,212,164,137,100,191,92
EPS in Rs,2.67,2.6,2.62,2.38,2.19,0.92,2.24,1.75,1.47,1.07,2.04,0.99
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,4024,4798,5391,5342,7380,10368,12514,10760,9071,9241,,
Expenses,3576,4320,4787,4845,6795,9664,11406,9912,8303,8483,,
Operating Profit,448,479,604,497,585,704,1108,847,768,758,,
OPM %,11,10,11,9,8,7,9,8,8,8,,
Other Income,189,212,178,196,261,413,403,431,513,476,,
Interest,65,15,28,23,62,119,149,221,352,382,,
Depreciation,16,52,83,92,95,107,100,118,163,170,,
Profit before tax,555,624,672,578,689,891,1261,939,766,682,,
Tax %,26,28,28,32,14,14,26,22,23,—,,
Net Profit,409,450,485,391,592,765,930,728,592,520,,
EPS in Rs,4.35,4.79,5.16,4.16,6.3,8.14,9.88,7.73,6.33,5.57,,
Dividend Payout %,47,45,46,36,40,37,31,34,30,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,99,94,94,94,94,188,188,188,188,188,,
Reserves,3718,3667,3870,4077,4309,4478,5023,5683,6081,6451,,
Borrowings,0,3200,3077,0,331,1399,1505,2570,4299,5726,,
Other Liabilities,5415,5810,6278,6009,6520,8382,8821,9011,8896,8943,,
Total Liabilities,9231,12771,13318,10181,11254,14446,15537,17452,19464,21307,,
Fixed Assets,524,568,1890,1982,1922,1845,1825,1736,2453,3524,,
CWIP,549,964,55,30,13,36,19,549,976,595,,
Investments,781,784,809,803,850,971,1049,1553,1239,1432,,
Other Assets,7378,10455,10565,7366,8468,11594,12644,13614,14796,15757,,
Total Assets,9231,12771,13318,10181,11254,14446,15537,17452,19464,21307,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,919,-2617,-1185,-136,518,1414,-278,-79,-1110,-618,,
Cash from Investing Activity,-1834,-20,616,447,-785,-1241,1582,-720,54,-273,,
Cash from Financing Activity,-222,2737,-93,-275,169,671,-223,640,1156,801,,
Net Cash Flow,-1137,100,-662,36,-99,844,1080,-158,100,-89,,
Free Cash Flow,402,-3037,-1516,-185,534,1374,-376,-887,-2161,-1148,,
CFO/OP,298,-571,-227,-11,113,247,-29,36,-95,-41,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,56,61,51,37,43,34,30,23,45,56,,
Inventory Days,157,152,—,320,76,—,—,—,50,6,,
Days Payable,406,550,—,588,478,—,—,—,687,530,,
Cash Conversion Cycle,-193,-337,51,-231,-359,34,30,23,-592,-468,,
Working Capital Days,-175,-162,-101,-85,-119,-128,-47,-41,-41,-21,,
ROCE %,14,11,9,12,13,14,16,18,12,9,,
