Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,1177,1253,1391,1510,1630,1698,1904,1947,2057,2130,2175,2248
Expenses,-3,99,56,51,131,119,170,427,138,179,308,486
Financing Profit,387,394,488,484,469,548,630,302,706,718,626,422
Financing Margin %,33,31,35,32,29,32,33,16,34,34,29,19
Other Income,0,0,0,0,1,1,11,12,1,10,6,1
Interest,793,760,847,975,1030,1032,1104,1218,1213,1233,1241,1341
Depreciation,7,8,9,9,9,10,11,10,10,11,13,10
Profit before tax,380,386,480,476,460,538,630,305,696,717,619,413
Tax %,25,13,30,19,16,21,20,19,21,18,20,18
Net Profit,285,336,337,384,388,425,502,247,549,585,493,338
EPS in Rs,1.25,1.25,1.26,1.43,1.44,1.58,1.87,0.88,1.95,2.08,1.75,1.2
Gross NPA %,3.13,2.9,—,2.19,2.19,2.68,2.45,4.13,3.97,3.75,3.49,3.76
Net NPA %,1.65,1.52,—,0.95,1.04,1.5,1.35,2.06,1.97,1.68,1.29,1.22
Item,Mar 2016,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,1174,2020,2369,2655,2860,3483,4965,6754,8309,8610,,
Expenses,84,431,649,495,430,232,85,471,1052,1111,,
Financing Profit,421,406,260,590,843,1163,1716,2142,2352,2471,,
Financing Margin %,36,20,11,22,29,33,35,32,28,29,,
Other Income,1,-72,3,3,14,0,-1,0,28,17,,
Interest,668,1183,1459,1570,1587,2088,3164,4141,4905,5027,,
Depreciation,4,23,23,23,23,24,30,39,44,44,,
Profit before tax,418,311,241,570,834,1139,1685,2104,2337,2445,,
Tax %,29,20,11,39,24,24,26,19,20,—,,
Net Profit,298,250,215,346,634,865,1252,1699,1873,1964,,
EPS in Rs,379.86,3.19,2.73,4.42,2.77,3.78,4.66,6.32,6.67,6.98,,
Dividend Payout %,53,0,0,0,0,0,0,0,20,—,,
Item,Mar 2015,Mar 2016,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,785,—,785,785,785,2285,2285,2688,2688,2809,,
Reserves,1394,—,1799,1737,2211,2984,3651,5872,7578,10972,,
Borrowing,7439,—,18753,21854,24000,27613,40165,49687,64740,77846,,
Other Liabilities,663,—,3181,3277,3298,3827,4347,4354,4728,2175,,
Total Liabilities,10280,—,24518,27652,30293,36708,50447,62600,79734,93802,,
Fixed Assets,33,—,303,282,266,248,229,361,349,320,,
CWIP,7,—,0,0,0,131,144,0,0,0,,
Investments,0,—,0,0,0,99,99,101,626,910,,
Other Assets,10241,—,24215,27370,30027,36230,49975,62138,78760,92572,,
Total Assets,10280,—,24518,27652,30293,36708,50447,62600,79734,93802,,
Item,Mar 2015,Mar 2016,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,—,—,-5018,-1709,-3206,-5254,-12343,-11100,-14461,-14482,,
Cash from Investing Activity,—,—,-37,0,-2,-107,-17,-23,-543,-281,,
Cash from Financing Activity,—,—,3736,2141,2441,5271,12368,11059,14960,14748,,
Net Cash Flow,—,—,-1319,431,-767,-90,7,-64,-44,-15,,
Free Cash Flow,—,—,-5055,-1710,-3209,-5262,-12360,-11123,-14488,-14498,,
CFO/OP,—,—,-308,-89,-141,-204,-372,-220,-221,-193,,
Item,Mar 2015,Mar 2016,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,12,—,11,8,13,15,15,17,18,16,,
