Item,Indicator,Value,Signal
,SMA (10),82.29,Sell
,EMA (10),82.41,Sell
,SMA (20),83.99,Sell
,EMA (20),83.79,Sell
,SMA (50),86.77,Sell
,EMA (50),87.03,Sell
,SMA (100),92.79,Sell
,EMA (100),91.81,Sell
,SMA (200),101.66,Sell
,EMA (200),100.01,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),25.38,Buy
,"MACD (12,26,9)",-1.79,Sell
,"Stochastic (14,3,3)",8.02,Buy
,ADX (14),46.4,Buy
,Williams %R (14),-85.27,Buy
,ATR (14),1.4,Neutral
,ROC (12),-5.38,Sell
,Stoch RSI (14),0.86,Buy
,"UO (7,14,28)",35.39,Neutral
