Item,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,706,778,1015,1061,816,839,1231,1254,936
Expenses,500,566,635,648,571,594,764,787,644
Operating Profit,206,212,381,412,245,246,467,466,292
OPM %,29,27,37,39,30,29,38,37,31
Other Income,14,7,19,43,48,49,-34,60,62
Interest,2,2,2,2,2,2,2,2,2
Depreciation,95,104,104,100,102,104,104,106,104
Profit before tax,123,114,294,354,189,189,327,418,248
Tax %,29,33,27,27,29,29,28,24,27
Net Profit,87,77,216,258,134,133,237,317,182
EPS in Rs,—,—,—,1.23,0.64,0.64,1.13,1.52,0.87
Item,Mar 2024,Mar 2025,Mar 2026,TTM,,,,,
---,---,---,---,---,,,,,
Sales,2224,3560,4139,4260,,,,,
Expenses,1454,2307,2660,2788,,,,,
Operating Profit,771,1253,1480,1471,,,,,
OPM %,35,35,36,35,,,,,
Other Income,16,77,115,138,,,,,
Interest,20,44,55,8,,,,,
Depreciation,201,402,417,418,,,,,
Profit before tax,565,884,1123,1182,,,,,
Tax %,25,28,27,—,,,,,
Net Profit,424,638,821,869,,,,,
EPS in Rs,—,3.05,3.92,4.16,,,,,
Dividend Payout %,0,0,0,—,,,,,
Item,Mar 2024,Mar 2025,Mar 2026,,,,,,
---,---,---,---,,,,,,
Equity Capital,83,208,208,,,,,,
Reserves,8415,10484,11450,,,,,,
Borrowings,74,73,74,,,,,,
Other Liabilities,1617,1707,1748,,,,,,
Total Liabilities,10188,12472,13480,,,,,,
Fixed Assets,6436,8189,8089,,,,,,
CWIP,1768,158,207,,,,,,
Investments,204,676,1956,,,,,,
Other Assets,1780,3449,3229,,,,,,
Total Assets,10188,12472,13480,,,,,,
Item,Mar 2024,Mar 2025,Mar 2026,,,,,,
---,---,---,---,,,,,,
Cash from Operating Activity,672,801,1110,,,,,,
Cash from Investing Activity,-753,-2203,-1174,,,,,,
Cash from Financing Activity,127,1430,19,,,,,,
Net Cash Flow,47,27,-46,,,,,,
Free Cash Flow,22,419,701,,,,,,
CFO/OP,116,81,95,,,,,,
Item,Mar 2024,Mar 2025,Mar 2026,,,,,,
---,---,---,---,,,,,,
Debtor Days,24,21,20,,,,,,
Cash Conversion Cycle,24,21,20,,,,,,
Working Capital Days,48,48,43,,,,,,
ROCE %,—,10,11,,,,,,
