Item,Indicator,Value,Signal
,SMA (10),157.95,Sell
,EMA (10),157.69,Sell
,SMA (20),161.46,Sell
,EMA (20),160.42,Sell
,SMA (50),167.05,Sell
,EMA (50),163.68,Sell
,SMA (100),163.95,Sell
,EMA (100),166.06,Sell
,SMA (200),171.79,Sell
,EMA (200),172.99,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),32.48,Neutral
,"MACD (12,26,9)",-3.16,Sell
,"Stochastic (14,3,3)",3.75,Buy
,ADX (14),21.03,Neutral
,Williams %R (14),-92.89,Buy
,ATR (14),3.35,Neutral
,ROC (12),-7.79,Sell
,Stoch RSI (14),0,Buy
,"UO (7,14,28)",30.52,Neutral
