Item,Indicator,Value,Signal
,SMA (10),147.11,Sell
,EMA (10),147.26,Sell
,SMA (20),148.27,Sell
,EMA (20),149.53,Sell
,SMA (50),160.19,Sell
,EMA (50),153.31,Sell
,SMA (100),152.56,Sell
,EMA (100),148.97,Sell
,SMA (200),130.83,Buy
,EMA (200),137.14,Buy
,Indicator,Value,Signal
,---,---,---
,RSI (14),38.94,Neutral
,"MACD (12,26,9)",-3.23,Buy
,"Stochastic (14,3,3)",19.53,Buy
,ADX (14),20.47,Neutral
,Williams %R (14),-77.69,Neutral
,ATR (14),4.34,Neutral
,ROC (12),-4.45,Sell
,Stoch RSI (14),34.86,Neutral
,"UO (7,14,28)",47.13,Neutral
