Item,Date,Document
,2026-08-26,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5059a28f-0653-44be-a2fc-922776cb8c87.pdf)
,2026-08-25,[Notice Of 30Th AGM Of The Company To Be Held On September 16 2026.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=799284b1-d895-4c5d-aed6-cc894b85cc51.pdf)
,2026-08-25,[Reg. 34 (1) Annual Report.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=19c7ad33-34e6-4b00-a24f-8087df8cd283.pdf)
,2026-08-25,[Business Responsibility and Sustainability Reporting (BRSR)](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=27dab5ff-0d33-4d45-9224-7c1965570cee.pdf)
,2026-08-25,[Record Date For The Purpose Of AGM And Eligibility Of Dividend.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8854d5bd-9a42-43e4-b261-f5f52f23cf53.pdf)
,2026-08-24,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c35ba969-61ac-4b61-81a8-668c040358d0.pdf)
,2026-08-24,[Clarification](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=594b349d-d9f0-4c64-9b64-8ed44b6b7e4b.pdf)
,2026-08-21,[Rumour verification - Regulation 30(11)](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d0f6d952-60b2-4d27-97dc-f1a0610e9118.pdf)
,2026-08-06,[Announcement under Regulation 30 (LODR)-Credit Rating](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0ce15dcf-0253-47c3-8053-c271cd3cf241.pdf)
,2026-07-31,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c02b8551-0dd4-41a9-9c69-5659a7d26786.pdf)
,Date,Document
,---,---
