Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,5466,5656,5425,4939,5572,5271,5047,4085,4234,4943,4633,4452
Expenses,4663,4668,4505,4100,4658,4332,4310,3415,3782,4331,4156,4061
Operating Profit,804,988,920,840,914,939,736,670,451,613,478,391
OPM %,15,17,17,17,16,18,15,16,11,12,10,9
Other Income,22,40,69,51,37,29,28,29,40,22,23,24
Interest,189,182,174,154,158,173,139,171,153,133,163,108
Depreciation,141,147,149,148,151,151,153,153,156,155,167,164
Profit before tax,496,700,667,588,643,645,473,374,183,347,172,143
Tax %,28,27,28,29,26,26,82,-11,24,29,28,36
Net Profit,356,512,480,416,475,479,87,415,139,248,124,91
EPS in Rs,5.9,8.34,7.85,6.9,7.81,7.92,4.55,6.63,2.38,4.03,2.18,1.63
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,8507,12117,11627,10664,13298,17868,20958,20829,17895,18263,,
Expenses,7466,10645,10116,9422,11899,16192,17631,17385,15666,16330,,
Operating Profit,1041,1472,1511,1242,1399,1676,3326,3444,2229,1933,,
OPM %,12,12,13,12,11,9,16,17,12,11,,
Other Income,24,515,-3,209,155,155,162,130,97,109,,
Interest,579,615,620,493,460,642,705,623,620,557,,
Depreciation,363,396,422,459,473,470,568,602,630,641,,
Profit before tax,122,975,467,499,621,719,2216,2349,1076,844,,
Tax %,109,22,1,34,40,37,28,38,14,—,,
Net Profit,-11,764,461,328,376,452,1593,1458,925,601,,
EPS in Rs,2.79,13.29,8.67,4.99,6.44,10.07,26.22,27.18,15.22,10.22,,
Dividend Payout %,22,8,12,20,16,15,8,7,13,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,64,64,64,64,64,64,64,64,64,64,,
Reserves,5322,5432,6218,6700,6919,7300,7857,10029,11347,12510,,
Borrowings,6222,6311,5692,5649,5335,6031,4961,5761,4859,4691,,
Other Liabilities,1248,1389,2807,2669,3497,3048,5001,4824,4395,4307,,
Total Liabilities,12856,13197,14781,15082,15815,16443,17883,20679,20665,21572,,
Fixed Assets,7455,7120,7163,7491,7316,7357,7484,8853,9341,10409,,
CWIP,102,126,260,423,404,293,300,632,641,453,,
Investments,119,110,190,129,198,224,175,178,168,105,,
Other Assets,5180,5840,7169,7039,7898,8570,9924,11016,10516,10606,,
Total Assets,12856,13197,14781,15082,15815,16443,17883,20679,20665,21572,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,1163,565,1567,1665,1570,73,1616,2593,2335,1771,,
Cash from Investing Activity,-428,-121,-518,-468,-359,-190,-68,-1917,-897,-947,,
Cash from Financing Activity,-816,-470,-977,-1168,-831,61,-1966,-12,-1524,-1073,,
Net Cash Flow,-81,-25,72,28,379,-55,-419,663,-86,-249,,
Free Cash Flow,877,377,1071,1107,1173,-279,1379,1741,1324,706,,
CFO/OP,188,61,118,122,134,16,106,87,86,92,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,71,83,67,59,73,50,73,60,62,63,,
Inventory Days,221,183,156,141,177,173,134,147,152,191,,
Days Payable,39,42,88,74,117,71,98,89,78,95,,
Cash Conversion Cycle,253,224,134,126,132,152,109,119,136,159,,
Working Capital Days,37,42,12,-12,-17,-15,15,19,41,66,,
ROCE %,4,7,11,10,8,9,11,21,19,10,,
