Item,Date,Document
,2026-08-28,[Shareholder Meeting / Postal Ballot-Outcome of AGM](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=533108a1-3d74-4cb3-acd5-6092756c0b7f.pdf)
,2026-08-28,[Shareholder Meeting / Postal Ballot-Scrutinizers Report](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=701bd646-00f6-4be5-8839-57b4e872b46d.pdf)
,2026-08-26,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9a2d136c-3d03-4c43-a266-e5835dd96929.pdf)
,2026-08-13,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d0e528d4-bdaf-4441-b3f6-3d7fe6f31000.pdf)
,2026-08-10,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=aa91f6dc-cf64-49e8-89ef-ad1d71c8bc18.pdf)
,2026-08-07,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b5ebae11-0626-409d-bf35-ae5809449922.pdf)
,2026-08-07,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d7bc7616-4abe-4ea1-bede-90ecb41a71ac.pdf)
,2026-08-06,[Reg. 34 (1) Annual Report.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ae30910d-b69d-4a4d-833a-dea9e56530d0.pdf)
,2026-08-06,[Submission Of The Integrated Report For The Financial Year 2025-26 And Notice Of The 47Th Annual General Meeting](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bc8ec441-60d4-41f8-a011-d5c625e25955.pdf)
,2026-08-06,[Business Responsibility and Sustainability Reporting (BRSR)](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6d576268-4580-4102-9ef6-13c05afc0f7c.pdf)
,Date,Document
,---,---
,2026-07-25,[AUDIO RECORDING OF EARNINGS CALL HELD ON JULY 25 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6e747384-910e-41c9-a5ee-7dbd9ab9e715.pdf)
,2026-05-02,[AUDIO RECORDING OF EARNINGS CALL HELD ON MAY 2 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d0233b91-d16c-44ee-b383-dc46dae1f309.pdf)
,2026-01-31,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0c808305-eb77-4214-99fb-c90a20cddc75.pdf)
,2025-10-29,[AUDIO RECORDING OF EARNINGS CALL HELD ON OCTOBER 29 2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b301e08a-df75-40c7-83b0-52b351865adf.pdf)
,2025-08-13,[AUDIO RECORDING OF EARNINGS CALL HELD ON AUGUST 13 2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f7c48e01-e515-4c80-a4df-2218be43ec62.pdf)
