Item,Indicator,Value,Signal
,SMA (10),5010.1,Sell
,EMA (10),5009.04,Sell
,SMA (20),5135.02,Sell
,EMA (20),5111.15,Sell
,SMA (50),5340.04,Sell
,EMA (50),5251.53,Sell
,SMA (100),5345.48,Sell
,EMA (100),5338.77,Sell
,SMA (200),5450.97,Sell
,EMA (200),5432.08,Sell
,Indicator,Value,Signal
,---,---,---
,RSI (14),26.52,Buy
,"MACD (12,26,9)",-122.7,Sell
,"Stochastic (14,3,3)",7.96,Buy
,ADX (14),41.69,Buy
,Williams %R (14),-93.86,Buy
,ATR (14),122.13,Neutral
,ROC (12),-8.21,Sell
,Stoch RSI (14),0,Buy
,"UO (7,14,28)",34.06,Neutral
