Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,9797,9127,9454,9430,9777,9907,10198,10207,10893,10518,11337,11279
Expenses,8566,7881,8419,8219,8590,8714,9165,8911,9519,9110,9882,9949
Operating Profit,1231,1246,1035,1210,1186,1193,1033,1296,1374,1408,1455,1329
OPM %,13,14,11,13,12,12,10,13,13,13,13,12
Other Income,140,52,53,51,47,99,87,69,107,77,84,153
Interest,156,146,153,143,159,161,150,144,141,134,149,146
Depreciation,222,236,233,232,241,242,241,252,262,269,278,302
Profit before tax,993,917,702,886,834,890,729,969,1078,1082,1112,1034
Tax %,23,25,29,27,27,26,19,26,25,24,25,26
Net Profit,764,691,501,646,609,654,590,715,808,828,834,769
EPS in Rs,9.4,8.41,6.08,7.87,7.42,7.95,7.17,8.67,9.79,10.05,10.23,9.33
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,11638,13557,12951,12188,32733,35697,38562,39312,42955,44026,,
Expenses,10294,12392,11819,10764,27642,32111,34052,34844,37473,38460,,
Operating Profit,1343,1165,1132,1424,5090,3586,4511,4469,5482,5566,,
OPM %,12,9,9,12,16,10,12,11,13,13,,
Other Income,62,45,44,148,171,236,515,438,388,421,,
Interest,566,637,586,480,344,325,554,612,568,570,,
Depreciation,320,352,425,403,759,724,879,956,1060,1111,,
Profit before tax,520,222,165,690,4159,2774,3592,3339,4242,4307,,
Tax %,34,35,56,39,25,25,25,25,25,—,,
Net Profit,346,145,73,419,3109,2084,2693,2500,3185,3239,,
EPS in Rs,7.16,2.97,1.46,8.6,58.59,25.68,32.95,30.41,38.74,39.4,,
Dividend Payout %,0,0,0,0,0,10,9,10,10,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,80,96,96,97,97,105,165,165,165,165,,
Reserves,1734,2369,2495,2620,3108,9718,11766,14193,16523,19626,,
Borrowings,5888,5015,4388,3903,3230,4007,3958,6052,6402,7460,,
Other Liabilities,3208,3354,3736,4057,4300,8746,11226,10355,12827,13189,,
Total Liabilities,10909,10834,10715,10678,10735,22576,27115,30765,35917,40441,,
Fixed Assets,6609,6342,6345,6181,5855,8646,9961,13254,14800,18217,,
CWIP,29,144,29,15,58,525,773,1112,1783,1806,,
Investments,404,439,454,449,456,626,970,1246,1646,1547,,
Other Assets,3868,3909,3887,4033,4365,12779,15411,15152,17688,18871,,
Total Assets,10909,10834,10715,10678,10735,22576,27115,30765,35917,40441,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,5115,1452,1419,1180,1308,1038,3096,4818,4718,3395,,
Cash from Investing Activity,-30,-194,-192,-186,-152,-985,-2480,-3229,-3433,-3500,,
Cash from Financing Activity,-5106,-1257,-1237,-991,-1119,101,-386,-829,-1882,-112,,
Net Cash Flow,-21,1,-11,4,37,154,229,760,-597,-217,,
Free Cash Flow,5057,1258,1213,1006,1145,70,1448,3367,2890,755,,
CFO/OP,441,107,122,104,91,37,107,123,119,80,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,35,28,25,20,28,43,37,27,29,26,,
Inventory Days,133,116,96,117,130,116,125,108,132,122,,
Days Payable,119,104,99,113,123,98,117,95,124,106,,
Cash Conversion Cycle,50,41,22,23,35,61,46,41,36,42,,
Working Capital Days,-77,-20,-19,-24,-2,33,30,23,12,5,,
ROCE %,9,14,12,11,16,44,21,22,18,19,,
